iteration,max_fitness,time,current_time
1,2.4081442,7.460797548294067,2024-03-14 19:36:49.972358
2,2.4081442,6.5801591873168945,2024-03-14 19:36:56.552956
3,2.4081442,6.861676931381226,2024-03-14 19:37:03.415064
4,2.4081442,6.674952745437622,2024-03-14 19:37:10.090428
5,2.4081442,6.591826677322388,2024-03-14 19:37:16.682742
6,2.4081442,6.763862133026123,2024-03-14 19:37:23.447072
7,2.4081442,6.734607696533203,2024-03-14 19:37:30.182102
8,2.4081442,6.693875074386597,2024-03-14 19:37:36.876414
9,2.6939201,7.0384180545806885,2024-03-14 19:37:43.915350
10,2.6939201,7.031925201416016,2024-03-14 19:37:50.947689
11,2.6939201,6.953563928604126,2024-03-14 19:37:57.901662
12,2.8403838,7.054613351821899,2024-03-14 19:38:04.956777
13,2.8403838,6.916037321090698,2024-03-14 19:38:11.873221
14,4.0418015,6.8732359409332275,2024-03-14 19:38:18.746940
15,4.0418015,6.767265319824219,2024-03-14 19:38:25.514615
16,4.0418015,6.624763250350952,2024-03-14 19:38:32.139876
17,4.0418015,6.791354417800903,2024-03-14 19:38:38.931647
18,4.0418015,6.637359380722046,2024-03-14 19:38:45.569426
19,4.0418015,6.5595386028289795,2024-03-14 19:38:52.129509
20,4.0418015,6.639394521713257,2024-03-14 19:38:58.769433
21,4.0418015,6.702825546264648,2024-03-14 19:39:05.472779
22,4.0418015,6.6512556076049805,2024-03-14 19:39:12.124545
23,4.0418015,6.939547538757324,2024-03-14 19:39:19.064508
24,4.1482525,6.697803258895874,2024-03-14 19:39:25.762720
25,4.1482525,6.901993989944458,2024-03-14 19:39:32.665154
26,4.1482525,6.9872472286224365,2024-03-14 19:39:39.652819
27,4.1482525,7.108911037445068,2024-03-14 19:39:46.762142
28,4.1482525,7.0706703662872314,2024-03-14 19:39:53.833255
29,4.203521,7.406576871871948,2024-03-14 19:40:01.240248
30,4.203521,7.208021640777588,2024-03-14 19:40:08.448682
31,4.203521,7.286028861999512,2024-03-14 19:40:15.735136
32,4.203521,7.146750211715698,2024-03-14 19:40:22.882351
33,4.203521,6.99967885017395,2024-03-14 19:40:29.882493
34,4.203521,7.165848731994629,2024-03-14 19:40:37.048834
35,4.203521,7.276282548904419,2024-03-14 19:40:44.325597
36,4.203521,7.095261096954346,2024-03-14 19:40:51.421349
37,4.203521,7.1029579639434814,2024-03-14 19:40:58.524828
38,4.203521,7.019368410110474,2024-03-14 19:41:05.544696
39,4.203521,7.225548982620239,2024-03-14 19:41:12.770772
