iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,0.82501584,3.423983,5.620095,4.9712715,0.9765625,6.4453125,1.8554688,23.23087453842163,2024-05-02 19:44:31.782481
2,1.2103994,4.192504,6.2906637,-1.9190738,0.9765625,8.105469,2.734375,10.661358118057251,2024-05-02 19:44:42.444585
3,1.2103994,4.612808,10.675271,-1.529726,0.9765625,9.9609375,2.8320312,11.104967594146729,2024-05-02 19:44:53.550110
4,1.2103994,4.6830177,12.162331,-0.48260832,1.0742188,11.425781,3.0273438,11.039150953292847,2024-05-02 19:45:04.589727
5,1.2103994,3.8758664,16.090536,-0.44201612,1.3671875,12.5,3.125,10.784440755844116,2024-05-02 19:45:15.374735
6,1.2103994,3.8758664,18.083921,-0.9154854,1.3671875,13.769531,3.4179688,11.022451400756836,2024-05-02 19:45:26.397660
7,1.2103994,3.7144523,22.511486,-3.2950473,1.4648438,14.84375,3.6132812,11.117663383483887,2024-05-02 19:45:37.515787
8,1.2103994,4.8211107,27.80593,-2.5606852,1.5625,16.210938,3.6132812,10.872368097305298,2024-05-02 19:45:48.388644
9,1.2103994,5.694145,31.836246,-1.6144036,1.5625,16.894531,4.0039062,10.80294680595398,2024-05-02 19:45:59.192022
10,1.2103994,5.936506,32.818153,-1.5463198,1.5625,17.1875,4.1015625,10.7205810546875,2024-05-02 19:46:09.913069
11,1.5072514,6.6166606,36.736855,0.5214225,1.5625,17.578125,4.1992188,11.12118649482727,2024-05-02 19:46:21.034883
12,1.619176,7.997158,35.75661,2.7050552,1.5625,18.359375,4.1992188,11.11774468421936,2024-05-02 19:46:32.153308
13,1.619176,7.997158,37.261665,2.9344635,1.5625,18.945312,4.1992188,11.266357183456421,2024-05-02 19:46:43.420412
14,1.619176,8.189419,39.366062,2.941618,1.5625,19.53125,4.296875,10.85620379447937,2024-05-02 19:46:54.277243
15,1.619176,8.189419,42.104103,2.74262,1.5625,20.019531,4.4921875,11.400047779083252,2024-05-02 19:47:05.677771
16,1.619176,8.189419,43.145027,3.506156,1.5625,20.507812,4.5898438,10.873108148574829,2024-05-02 19:47:16.551683
17,1.619176,8.512238,42.835354,3.761928,1.5625,21.09375,4.7851562,10.935839653015137,2024-05-02 19:47:27.488131
18,1.619176,8.512238,45.94777,4.476688,1.5625,21.679688,4.7851562,11.053776979446411,2024-05-02 19:47:38.542339
19,1.619176,8.6985035,49.015736,5.0637665,1.6601562,21.972656,4.8828125,11.323631048202515,2024-05-02 19:47:49.866455
20,1.619176,8.6985035,51.45887,5.792547,1.6601562,22.949219,4.8828125,10.841883659362793,2024-05-02 19:48:00.708992
21,1.619176,8.6985035,53.13932,5.897271,1.6601562,23.242188,4.9804688,11.045121431350708,2024-05-02 19:48:11.754739
22,1.619176,8.815442,58.107292,5.4172153,1.6601562,23.925781,5.078125,11.156120538711548,2024-05-02 19:48:22.911472
23,1.619176,8.815442,58.489956,5.4172153,1.6601562,24.707031,5.078125,11.453167200088501,2024-05-02 19:48:34.365123
24,2.3910027,10.124753,61.079163,7.5162697,1.6601562,24.804688,5.1757812,11.271334409713745,2024-05-02 19:48:45.636954
25,2.3910027,10.299879,62.110252,7.5685744,1.7578125,24.902344,5.1757812,10.954628705978394,2024-05-02 19:48:56.592036
26,2.3910027,10.299879,64.85417,4.675417,1.7578125,25.390625,5.2734375,11.307383060455322,2024-05-02 19:49:07.899866
27,2.3910027,10.299879,67.22197,5.8358016,1.7578125,25.585938,5.46875,11.011826038360596,2024-05-02 19:49:18.912240
28,2.3910027,10.299879,68.36332,6.2670836,1.7578125,25.78125,5.5664062,10.936096429824829,2024-05-02 19:49:29.848798
29,2.3910027,10.321003,70.157364,6.9333196,1.7578125,26.074219,5.6640625,10.992994546890259,2024-05-02 19:49:40.842294
30,2.3910027,10.593207,74.71759,7.009552,1.7578125,26.464844,5.6640625,11.220030546188354,2024-05-02 19:49:52.062995
31,2.3910027,10.593207,75.091064,6.225883,1.7578125,26.953125,5.7617188,11.633849143981934,2024-05-02 19:50:03.697586
32,2.3910027,11.286581,77.26394,5.872651,1.7578125,27.148438,5.859375,11.228018522262573,2024-05-02 19:50:14.926448
33,2.3910027,11.286581,77.694305,6.352537,1.7578125,27.441406,5.9570312,11.446171522140503,2024-05-02 19:50:26.373092
34,2.3910027,11.286581,78.328735,6.5000587,1.7578125,27.734375,5.9570312,11.169666051864624,2024-05-02 19:50:37.543554
35,2.3910027,11.329914,80.41586,6.5246387,1.8554688,27.734375,6.0546875,11.379969120025635,2024-05-02 19:50:48.923991
36,2.3910027,11.329914,81.26165,3.2507,1.8554688,28.125,6.25,11.347482681274414,2024-05-02 19:51:00.272271
37,2.3910027,11.329914,83.11512,3.2511766,1.8554688,28.515625,6.25,11.376621007919312,2024-05-02 19:51:11.649569
38,2.3910027,11.483397,84.692894,4.2020636,1.8554688,28.515625,6.25,10.913487672805786,2024-05-02 19:51:22.563509
39,2.3910027,11.483397,86.0586,4.4980597,1.8554688,28.515625,6.25,10.940919876098633,2024-05-02 19:51:33.504904
40,2.3910027,11.650632,86.78724,4.4980597,1.8554688,28.710938,6.25,11.156301975250244,2024-05-02 19:51:44.661872
41,2.3910027,11.650632,89.4729,4.4980597,1.8554688,29.101562,6.25,11.165690183639526,2024-05-02 19:51:55.828134
42,2.3910027,11.650632,91.69014,1.2000117,1.8554688,29.199219,6.3476562,10.959365367889404,2024-05-02 19:52:06.787934
43,2.3910027,11.690108,94.75507,3.6018248,1.8554688,29.492188,6.3476562,11.13845944404602,2024-05-02 19:52:17.926889
44,2.3910027,11.690108,98.174866,4.2086496,1.8554688,29.492188,6.3476562,11.061697721481323,2024-05-02 19:52:28.989203
45,2.3910027,11.690108,100.27799,4.2086496,1.8554688,29.6875,6.3476562,11.049731016159058,2024-05-02 19:52:40.039422
46,2.3910027,11.414221,101.873955,4.2086496,1.953125,29.882812,6.3476562,11.204964876174927,2024-05-02 19:52:51.245046
47,2.3910027,11.49081,103.215256,9.0389805,1.953125,29.980469,6.4453125,11.153673887252808,2024-05-02 19:53:02.399243
48,2.3910027,11.49081,104.119736,9.286608,1.953125,30.078125,6.4453125,11.063037872314453,2024-05-02 19:53:13.462757
49,2.3910027,11.49081,105.193504,9.293415,1.953125,30.078125,6.4453125,11.24700117111206,2024-05-02 19:53:24.710228
50,2.3910027,11.49081,106.605896,9.293415,1.953125,30.175781,6.4453125,10.909762382507324,2024-05-02 19:53:35.620579
51,2.3910027,11.811491,107.12956,9.843794,2.0507812,30.175781,6.4453125,11.021666049957275,2024-05-02 19:53:46.642725
52,2.3910027,12.051116,109.1312,12.118509,2.0507812,30.175781,6.640625,11.214096069335938,2024-05-02 19:53:57.857293
53,2.3910027,12.101604,110.82005,13.489334,2.0507812,30.566406,6.7382812,11.546249389648438,2024-05-02 19:54:09.404129
54,2.3910027,12.101604,111.35575,13.489334,2.0507812,30.859375,6.7382812,11.145381689071655,2024-05-02 19:54:20.550048
55,2.3910027,12.101604,112.195206,13.755772,2.0507812,31.25,6.7382812,11.097965240478516,2024-05-02 19:54:31.648655
56,2.3910027,12.101604,116.1566,15.211363,2.0507812,31.445312,6.8359375,11.200371980667114,2024-05-02 19:54:42.849493
57,2.3910027,12.496817,118.413445,15.494189,2.1484375,31.738281,6.8359375,11.338248252868652,2024-05-02 19:54:54.188279
58,2.3910027,12.496817,118.12664,15.494189,2.1484375,32.03125,6.8359375,11.038460731506348,2024-05-02 19:55:05.227227
59,2.3910027,12.496817,120.502716,15.598186,2.1484375,32.32422,6.8359375,11.168973684310913,2024-05-02 19:55:16.396665
60,2.3910027,12.496817,121.20741,15.598186,2.1484375,32.617188,6.8359375,11.067081451416016,2024-05-02 19:55:27.464215
61,2.3910027,12.496817,122.7103,15.598186,2.1484375,32.8125,6.8359375,11.336611986160278,2024-05-02 19:55:38.801312
62,2.3910027,12.496817,125.34856,16.864574,2.1484375,33.007812,6.9335938,10.804087162017822,2024-05-02 19:55:49.606005
