iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
21,1.104746,21.438183,40.711037,10.197147,5.1757812,16.015625,4.8828125,9.382814645767212,2024-05-01 21:28:42.704137
22,1.104746,21.779778,42.44412,12.124371,5.1757812,16.015625,5.078125,9.670665740966797,2024-05-01 21:28:52.375222
23,1.104746,23.130722,43.182774,12.190973,5.1757812,16.40625,5.078125,9.460247278213501,2024-05-01 21:29:01.835844
24,1.104746,23.987722,45.8949,12.846465,5.1757812,16.601562,5.1757812,9.585525274276733,2024-05-01 21:29:11.421853
25,1.104746,24.888636,48.05871,12.846465,5.3710938,16.992188,5.1757812,9.508795976638794,2024-05-01 21:29:20.931049
26,1.104746,25.225977,50.256783,13.531809,5.46875,17.285156,5.1757812,9.516399383544922,2024-05-01 21:29:30.447860
27,1.104746,25.59219,51.579018,13.531809,5.6640625,17.675781,5.1757812,9.769071578979492,2024-05-01 21:29:40.217336
28,1.104746,25.976242,52.304962,13.420586,5.7617188,17.96875,5.2734375,9.531271934509277,2024-05-01 21:29:49.749125
29,1.2858174,27.238567,53.828476,14.706402,5.859375,18.359375,5.3710938,9.634896278381348,2024-05-01 21:29:59.384508
30,1.2858174,28.167997,55.01212,15.164096,5.9570312,18.75,5.46875,9.581101417541504,2024-05-01 21:30:08.966031
31,1.2858174,29.057686,61.382008,16.115103,6.0546875,19.238281,5.6640625,9.604880809783936,2024-05-01 21:30:18.571285
32,1.2858174,29.449781,63.250904,16.115103,6.0546875,19.335938,5.6640625,9.558786869049072,2024-05-01 21:30:28.130643
33,1.2858174,29.958523,64.43014,16.580751,6.1523438,19.726562,5.859375,9.480209112167358,2024-05-01 21:30:37.611436
34,1.2858174,30.82658,65.60695,16.580751,6.4453125,20.117188,5.859375,9.589969158172607,2024-05-01 21:30:47.201812
35,1.9752772,31.774086,68.44202,17.964455,6.5429688,20.214844,6.0546875,9.62125301361084,2024-05-01 21:30:56.823498
36,1.9752772,32.947346,71.179245,15.848425,6.640625,20.3125,6.25,9.28515625,2024-05-01 21:31:06.109074
37,1.9752772,33.822372,71.958694,16.424852,6.640625,20.800781,6.640625,9.454313039779663,2024-05-01 21:31:15.563803
38,1.9752772,34.77748,73.15166,17.556076,6.7382812,20.898438,6.640625,9.464141368865967,2024-05-01 21:31:25.028495
39,1.9752772,34.899475,70.77374,17.556076,6.7382812,21.191406,6.640625,9.515576362609863,2024-05-01 21:31:34.544664
40,1.9752772,35.76422,73.069405,19.762589,6.7382812,21.484375,6.7382812,9.659945249557495,2024-05-01 21:31:44.205028
41,1.9752772,36.80376,78.19849,20.70839,6.8359375,21.875,6.7382812,9.491562604904175,2024-05-01 21:31:53.697006
42,1.9752772,38.325844,79.45889,21.295086,6.9335938,21.972656,6.7382812,9.659533500671387,2024-05-01 21:32:03.356951
43,1.9752772,38.41169,81.49011,22.054785,6.9335938,22.070312,6.7382812,9.20743203163147,2024-05-01 21:32:12.564794
44,1.9752772,39.429764,84.403534,23.301727,7.2265625,22.167969,6.8359375,9.68163251876831,2024-05-01 21:32:22.246846
45,1.9752772,40.095768,85.33693,21.003365,7.2265625,22.265625,7.1289062,9.85810661315918,2024-05-01 21:32:32.105636
46,1.9752772,42.52317,87.599815,21.857002,7.3242188,22.460938,7.2265625,9.442611932754517,2024-05-01 21:32:41.548668
47,1.9752772,40.40603,88.32533,22.001158,7.421875,22.65625,7.2265625,9.651645183563232,2024-05-01 21:32:51.200730
48,1.9752772,37.40603,89.6408,21.62648,7.5195312,22.753906,7.3242188,9.672634363174438,2024-05-01 21:33:00.873775
49,1.9752772,38.08082,90.75557,23.588013,7.7148438,23.339844,7.5195312,9.453404903411865,2024-05-01 21:33:10.327643
50,1.9752772,38.367188,92.371826,24.569138,7.7148438,23.339844,7.5195312,9.60803747177124,2024-05-01 21:33:19.936061
51,1.9752772,39.42745,95.30531,24.80423,7.9101562,23.632812,7.5195312,9.57197880744934,2024-05-01 21:33:29.508473
52,1.9752772,37.22189,95.68985,25.343472,8.105469,23.632812,7.5195312,9.26249074935913,2024-05-01 21:33:38.771704
53,2.064696,36.492622,98.322334,27.47982,8.300781,23.632812,7.6171875,9.413155317306519,2024-05-01 21:33:48.185366
54,2.064696,36.99092,99.590225,28.131424,8.300781,23.730469,7.7148438,9.522234916687012,2024-05-01 21:33:57.708073
55,2.064696,34.290123,100.924484,28.320591,8.3984375,23.730469,7.8125,9.253365755081177,2024-05-01 21:34:06.961811
56,2.064696,37.590324,101.25065,28.320591,8.496094,23.828125,7.8125,9.457491159439087,2024-05-01 21:34:16.420017
57,2.064696,41.37826,101.48892,28.956596,8.59375,23.828125,7.9101562,9.417246341705322,2024-05-01 21:34:25.837644
58,2.064696,42.467243,102.7771,28.953865,8.59375,23.925781,8.0078125,9.552981615066528,2024-05-01 21:34:35.391185
59,2.064696,45.64213,103.58931,29.09636,8.59375,24.023438,8.105469,9.550403833389282,2024-05-01 21:34:44.941957
60,2.064696,46.43725,104.96665,26.531467,8.691406,24.121094,8.203125,9.478135585784912,2024-05-01 21:34:54.420470
61,2.1388826,49.301796,107.34917,24.32459,8.7890625,24.414062,8.300781,9.163316249847412,2024-05-01 21:35:03.584206
62,2.288276,50.948997,109.52722,26.836338,8.886719,24.414062,8.300781,9.795472383499146,2024-05-01 21:35:13.380065
63,2.288276,52.62773,111.81884,28.78388,8.886719,24.414062,8.3984375,9.672795534133911,2024-05-01 21:35:23.053465
64,2.288276,53.742577,112.2876,28.78388,8.984375,24.414062,8.3984375,9.767005443572998,2024-05-01 21:35:32.820891
65,2.288276,54.639557,114.74715,30.71885,9.1796875,24.414062,8.3984375,9.320710897445679,2024-05-01 21:35:42.142014
66,2.288276,55.38634,117.80693,32.85759,9.375,24.511719,8.496094,9.298075437545776,2024-05-01 21:35:51.440456
67,2.288276,55.55762,118.12224,32.894184,9.375,24.609375,8.496094,9.564050674438477,2024-05-01 21:36:01.005093
68,2.288276,56.707863,120.48863,33.417824,9.375,24.707031,8.496094,9.696054697036743,2024-05-01 21:36:10.701557
69,2.288276,57.427094,121.13167,34.49414,9.472656,24.804688,8.496094,9.488527774810791,2024-05-01 21:36:20.190510
70,3.6009507,60.4796,126.30284,39.458893,9.472656,24.804688,8.691406,9.756114721298218,2024-05-01 21:36:29.946998
71,3.6009507,60.623024,128.02345,40.178318,9.5703125,24.902344,8.691406,9.74421739578247,2024-05-01 21:36:39.691700
72,3.6009507,60.20084,129.16512,40.178318,9.765625,25.0,8.691406,9.791060447692871,2024-05-01 21:36:49.483157
73,3.6009507,61.37866,129.44191,40.178318,9.863281,25.097656,8.691406,9.421651840209961,2024-05-01 21:36:58.905408
74,3.6009507,61.857784,130.49115,41.82808,9.863281,25.195312,8.691406,9.567553043365479,2024-05-01 21:37:08.473482
75,3.6009507,62.825256,132.18765,38.827835,9.863281,25.195312,8.7890625,9.327013731002808,2024-05-01 21:37:17.800924
76,3.6009507,63.614037,132.30444,38.827835,9.863281,25.195312,8.7890625,9.515748262405396,2024-05-01 21:37:27.317086
77,3.6009507,64.8549,135.0961,39.344982,9.863281,25.292969,8.7890625,9.543169260025024,2024-05-01 21:37:36.860658
78,3.6009507,64.13109,136.07835,41.600697,10.253906,25.292969,8.984375,9.423764705657959,2024-05-01 21:37:46.285017
79,3.6009507,64.13109,137.00177,41.600697,10.253906,25.488281,8.984375,9.685529232025146,2024-05-01 21:37:55.970972
80,3.6009507,64.44556,138.28738,42.784454,10.253906,25.488281,8.984375,9.681023359298706,2024-05-01 21:38:05.652502
81,3.6009507,64.63138,139.0304,42.784454,10.253906,25.488281,8.984375,9.488767623901367,2024-05-01 21:38:15.141688
82,3.6009507,65.10333,140.20816,42.784454,10.253906,25.585938,8.984375,9.451069593429565,2024-05-01 21:38:24.593180
83,3.6009507,65.51318,140.53598,42.784454,10.3515625,25.585938,8.984375,9.57059907913208,2024-05-01 21:38:34.164194
84,3.6009507,65.96625,141.43874,43.984436,10.449219,25.585938,9.082031,9.30781364440918,2024-05-01 21:38:43.472456
85,3.6009507,68.21115,145.34444,45.761738,10.546875,25.585938,9.082031,9.65122103691101,2024-05-01 21:38:53.124144
86,3.6009507,68.09198,146.87602,47.943462,10.644531,25.585938,9.1796875,9.36323356628418,2024-05-01 21:39:02.487745
87,3.6009507,68.22353,147.23141,48.02388,10.644531,25.585938,9.1796875,9.616046905517578,2024-05-01 21:39:12.104368
88,3.6009507,69.10227,147.6647,48.02388,10.7421875,25.585938,9.1796875,9.547231435775757,2024-05-01 21:39:21.652222
89,3.6009507,69.602974,148.35925,48.46852,10.7421875,25.878906,9.277344,9.420199394226074,2024-05-01 21:39:31.072804
90,3.6009507,69.77997,148.85641,48.292786,10.7421875,25.976562,9.375,9.546125411987305,2024-05-01 21:39:40.619348
91,3.6009507,70.8563,151.29477,49.342834,10.7421875,25.976562,9.375,9.713035821914673,2024-05-01 21:39:50.332752
92,3.6009507,71.16739,151.78427,50.741913,10.839844,26.074219,9.375,9.443255424499512,2024-05-01 21:39:59.776609
93,3.6009507,71.35533,152.10352,50.9057,10.9375,26.074219,9.375,9.22322130203247,2024-05-01 21:40:09.000249
94,3.6009507,70.96573,152.88489,51.095512,11.035156,26.171875,9.375,9.400460720062256,2024-05-01 21:40:18.401101
95,3.6009507,71.028046,154.12404,51.592857,11.035156,26.269531,9.375,9.653337478637695,2024-05-01 21:40:28.054853
96,3.6009507,71.282555,154.20193,51.592857,11.035156,26.269531,9.375,9.673144102096558,2024-05-01 21:40:37.728379
97,3.6009507,71.65129,154.37527,51.592857,11.1328125,26.269531,9.375,9.541817426681519,2024-05-01 21:40:47.270609
98,3.6009507,73.15914,155.76024,52.10154,11.1328125,26.269531,9.375,9.538060426712036,2024-05-01 21:40:56.809180
99,3.6009507,73.15914,156.44531,50.462105,11.1328125,26.269531,9.5703125,9.411278009414673,2024-05-01 21:41:06.220868
100,3.6009507,73.299446,157.45523,50.622738,11.1328125,26.269531,9.5703125,9.682537317276001,2024-05-01 21:41:15.903818
101,3.6009507,73.56857,157.45523,52.087997,11.1328125,26.269531,9.765625,9.51937222480774,2024-05-01 21:41:25.423743
102,3.6009507,74.139694,158.19588,52.087997,11.1328125,26.269531,9.765625,9.582592248916626,2024-05-01 21:41:35.006715
103,3.6009507,74.79683,159.34009,52.1747,11.1328125,26.269531,9.863281,9.44114065170288,2024-05-01 21:41:44.448372
104,3.6009507,75.87802,160.36871,54.17122,11.1328125,26.367188,9.863281,9.5452721118927,2024-05-01 21:41:53.994057
105,3.6009507,75.75335,160.41669,54.013725,11.230469,26.367188,9.9609375,9.495830297470093,2024-05-01 21:42:03.490260
106,3.6009507,76.74771,163.34576,55.434853,11.230469,26.367188,9.9609375,9.626450777053833,2024-05-01 21:42:13.117123
107,3.6009507,80.0448,163.34576,55.434853,11.230469,26.367188,9.9609375,9.431584119796753,2024-05-01 21:42:22.549127
108,3.6009507,80.54594,163.8576,55.434853,11.230469,26.464844,9.9609375,9.867556095123291,2024-05-01 21:42:32.417091
109,3.6009507,80.714516,164.03352,55.434853,11.230469,26.464844,9.9609375,9.27081823348999,2024-05-01 21:42:41.688324
110,3.6009507,80.230064,165.16536,56.47876,11.328125,26.464844,9.9609375,9.986896514892578,2024-05-01 21:42:51.675633
111,3.6009507,80.61947,165.16536,56.47876,11.425781,26.464844,9.9609375,9.544217109680176,2024-05-01 21:43:01.220219
112,3.6009507,81.07027,166.26953,56.47888,11.5234375,26.464844,9.9609375,9.763492822647095,2024-05-01 21:43:10.984097
113,3.6009507,81.072784,166.68877,58.194347,11.5234375,26.464844,10.058594,9.583128929138184,2024-05-01 21:43:20.567618
114,3.6009507,81.42156,168.01859,58.755486,11.5234375,26.464844,10.058594,9.634431600570679,2024-05-01 21:43:30.202453
115,3.6009507,81.61287,168.78525,58.874546,11.621094,26.5625,10.058594,9.754173517227173,2024-05-01 21:43:39.957026
116,3.6009507,81.64746,169.17883,58.874546,11.621094,26.5625,10.058594,9.37996220588684,2024-05-01 21:43:49.337593
117,3.6009507,81.64746,171.33861,58.847786,11.621094,26.5625,10.15625,9.59027910232544,2024-05-01 21:43:58.928283
118,3.6009507,82.33096,171.72887,58.927593,11.621094,26.5625,10.15625,9.615867137908936,2024-05-01 21:44:08.544559
119,3.6009507,86.49072,173.05354,58.927593,11.621094,26.660156,10.15625,9.719751596450806,2024-05-01 21:44:18.264755
120,3.6009507,87.64722,173.17018,58.927593,11.621094,26.660156,10.15625,9.665162324905396,2024-05-01 21:44:27.930454
121,3.6009507,87.64722,173.59264,58.927593,11.621094,26.757812,10.15625,9.565122842788696,2024-05-01 21:44:37.496031
122,3.6009507,88.01538,173.66817,59.2123,11.621094,26.953125,10.15625,9.258242130279541,2024-05-01 21:44:46.754645
123,3.6009507,88.6913,173.79242,59.2123,11.71875,26.953125,10.15625,9.633243799209595,2024-05-01 21:44:56.388399
124,3.6009507,89.48042,173.84496,59.22524,11.816406,26.953125,10.15625,9.70693302154541,2024-05-01 21:45:06.095752
125,3.6009507,89.48042,174.64935,59.741287,11.816406,26.953125,10.15625,9.365739345550537,2024-05-01 21:45:15.461864
126,3.6009507,89.48913,175.88086,62.47342,11.816406,26.953125,10.15625,9.606405019760132,2024-05-01 21:45:25.068648
127,3.6009507,89.70948,176.26193,62.62468,11.9140625,26.953125,10.15625,9.608843564987183,2024-05-01 21:45:34.677921
128,3.6009507,90.37121,177.03145,62.62468,12.011719,26.953125,10.15625,9.552397012710571,2024-05-01 21:45:44.231122
129,3.6009507,90.18149,177.46645,64.11541,12.109375,26.953125,10.253906,9.610837697982788,2024-05-01 21:45:53.842514
130,3.6009507,90.401344,178.4337,64.610115,12.109375,26.953125,10.253906,9.592683792114258,2024-05-01 21:46:03.435634
131,3.6009507,90.70163,178.83075,64.610115,12.109375,26.953125,10.253906,9.622833728790283,2024-05-01 21:46:13.058834
132,3.6009507,91.27691,179.67923,65.23167,12.109375,26.953125,10.253906,9.758153438568115,2024-05-01 21:46:22.817558
133,3.6009507,92.13142,180.64133,65.396225,12.109375,26.953125,10.3515625,9.47883939743042,2024-05-01 21:46:32.296808
134,3.6009507,92.4278,181.65427,65.396225,12.109375,27.050781,10.3515625,9.515096426010132,2024-05-01 21:46:41.812323
135,3.6009507,92.4278,182.37518,65.396225,12.109375,27.050781,10.3515625,9.775340557098389,2024-05-01 21:46:51.588073
136,3.6009507,93.24588,183.44408,65.41218,12.109375,27.050781,10.449219,9.555391311645508,2024-05-01 21:47:01.143832
137,3.6009507,93.60303,183.44408,66.25454,12.207031,27.050781,10.546875,9.365491390228271,2024-05-01 21:47:10.509818
138,3.6009507,94.10246,183.83122,66.25454,12.207031,27.050781,10.546875,9.593924283981323,2024-05-01 21:47:20.104331
139,3.6009507,94.97746,184.1954,66.25454,12.3046875,27.050781,10.546875,9.724135637283325,2024-05-01 21:47:29.828975
140,3.6009507,95.10193,184.98093,66.25454,12.5,27.050781,10.546875,9.662472486495972,2024-05-01 21:47:39.491987
141,3.6009507,92.73906,185.5655,68.24257,12.597656,27.050781,10.546875,9.66468071937561,2024-05-01 21:47:49.157035
142,3.6009507,96.43661,185.808,68.24257,12.597656,27.050781,10.546875,9.618945121765137,2024-05-01 21:47:58.776400
143,3.6009507,96.79578,185.90694,68.48973,12.597656,27.050781,10.546875,9.7137610912323,2024-05-01 21:48:08.490572
144,3.6009507,98.35629,184.87987,69.49437,12.597656,27.148438,10.546875,9.524409770965576,2024-05-01 21:48:18.015499
145,3.6009507,98.35629,184.98068,70.75481,12.597656,27.148438,10.644531,9.508348226547241,2024-05-01 21:48:27.524214
146,3.6009507,98.54115,185.0811,70.895294,12.6953125,27.148438,10.644531,9.753219842910767,2024-05-01 21:48:37.277826
147,3.6009507,98.56818,185.14253,71.13032,12.6953125,27.148438,10.644531,9.679652690887451,2024-05-01 21:48:46.958068
148,3.6009507,98.75125,186.81705,71.29712,12.792969,27.148438,10.644531,9.464210271835327,2024-05-01 21:48:56.422648
149,3.6009507,98.87396,187.16745,70.5918,12.792969,27.246094,10.7421875,9.400439023971558,2024-05-01 21:49:05.823677
150,3.6009507,99.28695,187.3287,67.91402,12.792969,27.34375,10.839844,9.64650273323059,2024-05-01 21:49:15.470597
151,3.6009507,99.739136,187.84753,68.83154,12.890625,27.441406,10.839844,9.68488883972168,2024-05-01 21:49:25.155909
152,3.6009507,100.1921,185.93622,69.88935,12.890625,27.539062,10.9375,9.449557304382324,2024-05-01 21:49:34.606071
153,3.6009507,100.243324,185.93622,69.88935,12.988281,27.539062,10.9375,9.40110731124878,2024-05-01 21:49:44.007770
154,3.6009507,100.41307,187.15097,71.781586,12.988281,27.636719,10.9375,9.729581356048584,2024-05-01 21:49:53.737723
155,3.6009507,101.18733,187.48769,72.875854,12.988281,27.832031,10.9375,9.315064668655396,2024-05-01 21:50:03.053252
156,3.6009507,101.95339,187.52861,72.882095,13.0859375,27.832031,11.035156,9.558022499084473,2024-05-01 21:50:12.611684
157,3.6009507,101.95339,187.6941,72.882095,13.0859375,27.832031,11.035156,9.448158264160156,2024-05-01 21:50:22.060218
158,3.6009507,102.36212,188.69954,73.2092,13.0859375,27.832031,11.035156,9.592859268188477,2024-05-01 21:50:31.653454
159,3.6009507,102.883835,189.01349,70.25793,13.0859375,27.832031,11.1328125,9.409606695175171,2024-05-01 21:50:41.063490
160,3.6009507,103.19469,189.21927,70.25793,13.0859375,27.832031,11.1328125,9.330124378204346,2024-05-01 21:50:50.393986
161,3.6009507,107.00089,189.21927,71.212845,13.0859375,27.832031,11.1328125,9.606506109237671,2024-05-01 21:51:00.000905
162,3.6009507,108.00159,190.56528,71.23397,13.183594,27.929688,11.1328125,9.295494079589844,2024-05-01 21:51:09.296922
163,3.6009507,108.48683,190.96637,72.350266,13.28125,27.929688,11.1328125,9.749578952789307,2024-05-01 21:51:19.046962
164,3.6009507,108.57637,191.14694,69.552185,13.28125,27.929688,11.328125,9.630512475967407,2024-05-01 21:51:28.677875
165,3.6009507,108.7749,192.35847,70.06999,13.28125,28.125,11.328125,9.613868713378906,2024-05-01 21:51:38.292327
166,3.6009507,109.24675,193.33582,71.88864,13.378906,28.125,11.328125,9.535343170166016,2024-05-01 21:51:47.828313
167,3.6009507,109.301575,193.59247,72.72894,13.378906,28.125,11.425781,9.619609832763672,2024-05-01 21:51:57.448326
168,3.6009507,109.65426,194.19601,72.72894,13.378906,28.222656,11.425781,9.715545177459717,2024-05-01 21:52:07.164336
169,3.6009507,109.70185,194.23679,72.72894,13.378906,28.222656,11.425781,9.392975807189941,2024-05-01 21:52:16.557720
170,3.6009507,110.31472,194.5044,72.72894,13.4765625,28.222656,11.425781,9.50315237045288,2024-05-01 21:52:26.061287
171,3.6009507,110.696266,195.02502,73.135666,13.671875,28.320312,11.425781,9.391258716583252,2024-05-01 21:52:35.453005
172,3.6009507,111.11059,195.4611,73.135666,13.671875,28.320312,11.425781,9.483084440231323,2024-05-01 21:52:44.936498
173,3.6009507,111.31795,195.7055,74.031136,13.769531,28.320312,11.5234375,9.682506322860718,2024-05-01 21:52:54.619433
174,3.6009507,111.74678,198.63075,74.578545,13.769531,28.417969,11.621094,9.475748777389526,2024-05-01 21:53:04.095561
175,3.6009507,112.45426,199.6484,74.578545,13.769531,28.417969,11.621094,9.554683923721313,2024-05-01 21:53:13.650772
176,3.6009507,112.94116,199.93686,74.578545,13.769531,28.417969,11.621094,9.732558250427246,2024-05-01 21:53:23.383716
177,3.6009507,113.06248,201.00087,75.289505,13.769531,28.417969,11.621094,9.497801542282104,2024-05-01 21:53:32.882067
178,3.6009507,114.14137,201.8652,75.289505,13.769531,28.417969,11.621094,9.96737813949585,2024-05-01 21:53:42.849926
179,3.6009507,114.14137,201.93549,73.96472,13.769531,28.417969,11.71875,9.801029205322266,2024-05-01 21:53:52.651483
180,3.6009507,114.433,201.93549,73.96472,13.769531,28.417969,11.71875,9.533337116241455,2024-05-01 21:54:02.185303
181,3.6009507,114.30306,201.93549,73.96472,13.8671875,28.417969,11.71875,9.579658031463623,2024-05-01 21:54:11.765357
182,3.6009507,115.30881,202.06314,73.96472,14.0625,28.417969,11.71875,9.638757705688477,2024-05-01 21:54:21.404520
183,3.6009507,115.543594,202.29419,77.60405,14.0625,28.417969,11.71875,9.916203498840332,2024-05-01 21:54:31.321175
184,3.6009507,116.63175,202.8151,78.11926,14.0625,28.417969,11.71875,9.685547351837158,2024-05-01 21:54:41.007135
185,3.6009507,118.17115,204.34288,79.14165,14.0625,28.417969,11.71875,9.624257326126099,2024-05-01 21:54:50.631998
186,3.6009507,118.54985,205.0101,79.14165,14.160156,28.417969,11.71875,9.612663984298706,2024-05-01 21:55:00.245175
187,3.6009507,118.66824,205.79694,79.88115,14.160156,28.417969,11.71875,9.523404121398926,2024-05-01 21:55:09.768997
188,3.6009507,119.42655,206.10432,79.97496,14.160156,28.417969,11.71875,9.565271139144897,2024-05-01 21:55:19.334683
189,3.6009507,119.46469,206.53217,79.97496,14.355469,28.417969,11.71875,9.413915395736694,2024-05-01 21:55:28.749193
190,3.6009507,121.297195,210.76233,82.17976,14.355469,28.515625,11.71875,9.44417428970337,2024-05-01 21:55:38.193848
191,3.6009507,121.72952,211.13057,82.69635,14.355469,28.613281,11.816406,9.883320093154907,2024-05-01 21:55:48.077768
192,3.6009507,122.906555,212.40128,83.81647,14.355469,28.808594,11.816406,9.674492120742798,2024-05-01 21:55:57.752659
193,3.6009507,124.035164,212.82591,84.37072,14.6484375,28.808594,11.816406,9.3940110206604,2024-05-01 21:56:07.147085
194,3.6009507,125.575424,213.41953,84.37072,14.746094,28.808594,11.816406,9.600163459777832,2024-05-01 21:56:16.747695
195,3.6009507,125.46765,213.93619,84.406876,14.84375,28.808594,11.816406,9.551928520202637,2024-05-01 21:56:26.299994
196,3.6009507,125.46765,214.59325,84.406876,14.84375,28.808594,11.816406,9.582097291946411,2024-05-01 21:56:35.882709
197,3.6009507,126.02818,215.54443,84.406876,14.84375,28.90625,11.816406,9.675536632537842,2024-05-01 21:56:45.558813
198,3.6009507,126.77977,215.74408,84.19481,14.941406,28.90625,11.9140625,9.60212230682373,2024-05-01 21:56:55.161310
199,3.7260792,129.1635,217.5838,87.04733,14.941406,28.90625,11.9140625,9.527314901351929,2024-05-01 21:57:04.689041
200,3.7260792,129.67702,217.5838,87.6702,14.941406,28.90625,12.011719,9.627520322799683,2024-05-01 21:57:14.316979
