iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,0.72423416,-0.46870053,-0.9831506,-1.3356769,1.2695312,5.7617188,2.34375,20.13571000099182,2024-05-04 14:39:10.381436
2,0.72423416,0.041136265,1.5086073,0.030216932,1.4648438,7.8125,3.2226562,10.008970022201538,2024-05-04 14:39:20.390786
3,1.8699708,1.3608222,6.0896235,2.8672984,1.4648438,9.375,4.0039062,9.89642333984375,2024-05-04 14:39:30.287636
4,1.8699708,2.1718256,13.100574,5.1514454,1.4648438,10.253906,4.3945312,9.983175039291382,2024-05-04 14:39:40.271240
5,1.8699708,2.246568,16.145676,5.903856,1.4648438,10.839844,4.3945312,10.030351400375366,2024-05-04 14:39:50.301971
6,1.8699708,2.461764,19.56978,5.511026,1.4648438,11.71875,4.6875,9.824365615844727,2024-05-04 14:40:00.126759
7,1.8699708,2.5828533,22.418781,6.564716,1.4648438,12.402344,5.078125,10.062211990356445,2024-05-04 14:40:10.189553
8,1.8699708,2.611946,24.816668,7.0395064,1.4648438,13.28125,5.46875,10.020888805389404,2024-05-04 14:40:20.210876
9,1.8699708,2.611946,28.242714,8.509702,1.4648438,14.0625,5.5664062,10.233318090438843,2024-05-04 14:40:30.444604
10,1.8699708,2.9219003,30.552423,9.244453,1.4648438,14.453125,5.6640625,10.17136263847351,2024-05-04 14:40:40.616406
11,1.8699708,2.9219003,34.206924,9.93165,1.4648438,14.941406,5.7617188,10.117216348648071,2024-05-04 14:40:50.734053
12,1.8699708,2.9219003,32.530624,7.508828,1.4648438,15.4296875,5.9570312,9.902575254440308,2024-05-04 14:41:00.637016
13,1.8699708,2.9219003,35.6919,8.757189,1.4648438,15.625,5.9570312,9.867676734924316,2024-05-04 14:41:10.505279
14,1.8699708,3.173201,37.24354,10.822863,1.4648438,15.722656,6.5429688,9.706324577331543,2024-05-04 14:41:20.212033
15,1.8699708,3.381349,41.319717,11.507856,1.4648438,16.015625,6.7382812,9.996164083480835,2024-05-04 14:41:30.208822
16,1.8699708,3.381349,44.118546,12.4654255,1.4648438,16.113281,6.8359375,9.90152883529663,2024-05-04 14:41:40.110779
17,1.8699708,3.381349,46.082664,13.977358,1.4648438,16.601562,7.03125,9.970153570175171,2024-05-04 14:41:50.081312
18,1.8699708,3.381349,47.75539,15.041942,1.4648438,17.285156,7.3242188,9.913166522979736,2024-05-04 14:41:59.994909
19,1.8699708,3.381349,48.937645,16.935696,1.4648438,17.382812,7.8125,10.1130530834198,2024-05-04 14:42:10.108487
20,1.8699708,3.4978762,50.37184,14.466209,1.4648438,17.675781,8.105469,9.754575252532959,2024-05-04 14:42:19.863497
21,1.8699708,3.524133,51.349678,14.380821,1.4648438,17.773438,8.300781,10.090542554855347,2024-05-04 14:42:29.954472
22,1.8699708,3.524133,51.095177,15.016117,1.4648438,17.871094,8.3984375,9.996917009353638,2024-05-04 14:42:39.951783
