iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.5173284,-3.9380827,-8.9952755,-7.096553,1.2695312,6.3476562,2.5390625,19.38021159172058,2025-06-16 09:04:22.119971,0
2,0.5173284,-3.3493803,-8.04645,-6.599081,1.4648438,7.9101562,2.9296875,9.470509767532349,2025-06-16 09:04:31.590837,0
3,0.5334537,0.751418,-5.381876,-6.0008106,1.5625,8.886719,3.2226562,9.540266275405884,2025-06-16 09:04:41.131493,0
4,0.642615,0.91025066,-6.164776,-5.976097,2.0507812,10.15625,3.515625,9.807942867279053,2025-06-16 09:04:50.939882,0
5,0.642615,1.2486854,-4.250921,-5.860911,2.1484375,11.035156,3.6132812,9.920259952545166,2025-06-16 09:05:00.860557,0
6,0.642615,1.7645571,1.3166574,-8.815898,2.2460938,11.9140625,3.90625,9.658018350601196,2025-06-16 09:05:10.519063,0
7,1.553059,3.5817492,5.6611223,-9.8032,2.2460938,12.6953125,4.1015625,9.36086130142212,2025-06-16 09:05:19.880309,0
8,1.6937273,4.3015275,10.878846,-9.048867,2.34375,13.0859375,4.1992188,9.133994340896606,2025-06-16 09:05:29.014733,0
9,1.6937273,4.425921,13.05182,-10.38795,2.8320312,13.4765625,4.4921875,9.571036577224731,2025-06-16 09:05:38.586344,0
10,1.6937273,1.7234392,11.518238,-12.803215,3.125,14.0625,4.5898438,9.661021709442139,2025-06-16 09:05:48.247750,0
11,1.6937273,2.0922904,14.0749445,-12.340746,3.4179688,14.355469,4.7851562,9.743229150772095,2025-06-16 09:05:57.991403,0
12,1.6937273,5.405389,15.279393,-12.121325,3.515625,15.0390625,4.8828125,9.787863492965698,2025-06-16 09:06:07.779694,0
13,1.6937273,5.4615536,19.14401,-13.086655,3.6132812,15.4296875,4.9804688,9.748218059539795,2025-06-16 09:06:17.528333,0
14,1.6937273,5.9952593,20.865324,-12.39776,3.7109375,15.625,5.1757812,9.215500831604004,2025-06-16 09:06:26.744310,0
15,1.6937273,9.372857,21.848068,-12.216196,3.8085938,15.917969,5.1757812,9.625161170959473,2025-06-16 09:06:36.369904,0
16,1.6937273,8.89659,22.557224,-13.094032,4.0039062,16.210938,5.3710938,9.45901608467102,2025-06-16 09:06:45.829302,0
17,1.6937273,9.422619,25.115883,-12.742645,4.0039062,16.699219,5.3710938,9.829951524734497,2025-06-16 09:06:55.659882,0
18,1.6937273,10.068975,27.732273,-12.321608,4.1015625,16.796875,5.3710938,9.931846141815186,2025-06-16 09:07:05.592151,0
19,1.6937273,11.552086,27.95089,-12.828143,4.1015625,16.894531,5.5664062,9.477989673614502,2025-06-16 09:07:15.070564,0
20,1.6937273,11.686928,29.54945,-12.7151165,4.1015625,17.089844,5.859375,9.497814178466797,2025-06-16 09:07:24.568774,0
21,1.6937273,12.159453,30.593725,-12.738838,4.1015625,17.285156,5.9570312,9.856886148452759,2025-06-16 09:07:34.426256,0
22,1.6937273,12.170505,38.204323,-15.045828,4.1992188,17.480469,6.25,9.889827966690063,2025-06-16 09:07:44.316468,0
