iteration,max_fitness,coverage1,coverage2,coverage3,time,current_time
1,0.88485956,2.34375,1.4648438,2.1484375,7.49908709526062,2024-04-11 05:15:56.429576
2,0.88485956,3.0273438,1.6601562,2.6367188,6.341528654098511,2024-04-11 05:16:02.771606
3,0.88485956,3.125,1.8554688,2.8320312,6.3901050090789795,2024-04-11 05:16:09.162103
4,1.0599186,3.515625,2.2460938,2.9296875,6.33276891708374,2024-04-11 05:16:15.495249
5,1.0599186,3.7109375,2.2460938,3.0273438,6.277101039886475,2024-04-11 05:16:21.772895
6,1.0661114,4.0039062,2.1484375,3.3203125,6.394761085510254,2024-04-11 05:16:28.168063
7,1.4073535,4.0039062,2.2460938,3.2226562,6.471749305725098,2024-04-11 05:16:34.640176
8,1.4073535,4.0039062,2.2460938,3.7109375,6.623960256576538,2024-04-11 05:16:41.264530
9,1.4073535,3.90625,2.4414062,3.7109375,6.603540420532227,2024-04-11 05:16:47.868599
10,1.4073535,3.90625,2.2460938,3.8085938,6.5625505447387695,2024-04-11 05:16:54.431785
11,1.4073535,4.1015625,2.34375,3.90625,6.584420919418335,2024-04-11 05:17:01.016850
12,1.4073535,4.296875,2.6367188,4.0039062,6.265653133392334,2024-04-11 05:17:07.282881
13,1.4073535,4.3945312,2.9296875,4.296875,6.481491327285767,2024-04-11 05:17:13.764777
14,1.4073535,4.5898438,2.8320312,4.1992188,6.457736968994141,2024-04-11 05:17:20.222954
15,1.4073535,4.5898438,2.734375,4.296875,6.519804954528809,2024-04-11 05:17:26.743146
16,1.4073535,4.8828125,2.8320312,4.3945312,6.206028699874878,2024-04-11 05:17:32.949860
17,1.4073535,4.9804688,2.8320312,4.5898438,6.286127805709839,2024-04-11 05:17:39.236599
18,1.4073535,5.078125,2.8320312,4.7851562,6.650492191314697,2024-04-11 05:17:45.887505
19,1.4073535,5.1757812,2.8320312,4.6875,6.5847649574279785,2024-04-11 05:17:52.472715
20,1.5412599,5.2734375,2.8320312,4.7851562,6.466290235519409,2024-04-11 05:17:58.939458
21,1.561343,5.2734375,2.734375,4.8828125,6.404783248901367,2024-04-11 05:18:05.344681
22,2.6464176,5.1757812,2.734375,4.7851562,6.507648468017578,2024-04-11 05:18:11.852862
23,2.6464176,5.1757812,2.734375,4.8828125,6.308523416519165,2024-04-11 05:18:18.161818
24,2.6464176,5.078125,2.734375,4.7851562,6.515998601913452,2024-04-11 05:18:24.678184
25,2.6464176,5.078125,2.734375,4.5898438,6.518371105194092,2024-04-11 05:18:31.197131
26,2.6464176,5.078125,2.8320312,4.6875,6.611783027648926,2024-04-11 05:18:37.809357
27,2.6464176,5.1757812,2.8320312,4.6875,6.4992382526397705,2024-04-11 05:18:44.309048
28,2.6464176,5.1757812,2.8320312,4.6875,6.483903646469116,2024-04-11 05:18:50.793582
29,2.6464176,5.078125,3.0273438,4.7851562,6.566713809967041,2024-04-11 05:18:57.360876
30,2.6464176,5.078125,3.0273438,4.7851562,6.593484163284302,2024-04-11 05:19:03.954945
31,2.6464176,5.078125,3.0273438,4.6875,6.6102681159973145,2024-04-11 05:19:10.565809
32,2.6464176,5.078125,3.0273438,4.6875,6.434802532196045,2024-04-11 05:19:17.000977
33,2.6464176,5.1757812,3.0273438,4.7851562,6.496167898178101,2024-04-11 05:19:23.497663
34,2.6464176,5.1757812,3.0273438,4.7851562,6.48275351524353,2024-04-11 05:19:29.980855
35,2.6464176,4.7851562,3.125,4.5898438,6.466728210449219,2024-04-11 05:19:36.448240
36,2.6464176,4.7851562,3.2226562,4.6875,6.407835245132446,2024-04-11 05:19:42.856645
37,2.6464176,4.6875,3.2226562,4.7851562,6.443989038467407,2024-04-11 05:19:49.300992
38,2.6464176,4.8828125,3.3203125,4.7851562,6.324102878570557,2024-04-11 05:19:55.625520
39,2.6464176,4.8828125,3.4179688,4.7851562,6.5403125286102295,2024-04-11 05:20:02.166432
40,2.6464176,4.7851562,3.515625,4.8828125,6.570913076400757,2024-04-11 05:20:08.737719
41,2.6464176,4.9804688,3.515625,4.9804688,6.4915771484375,2024-04-11 05:20:15.229958
42,2.6464176,5.1757812,3.515625,4.7851562,6.51198148727417,2024-04-11 05:20:21.742586
43,2.6464176,5.46875,3.6132812,4.8828125,6.478088855743408,2024-04-11 05:20:28.221113
44,2.6464176,5.46875,3.6132812,4.8828125,6.393394470214844,2024-04-11 05:20:34.614891
45,2.6464176,5.46875,3.7109375,4.6875,6.302831172943115,2024-04-11 05:20:40.918374
46,2.6464176,5.6640625,3.7109375,4.3945312,6.352778911590576,2024-04-11 05:20:47.271541
47,2.6464176,5.6640625,3.7109375,4.3945312,6.366882801055908,2024-04-11 05:20:53.638860
48,2.6464176,5.7617188,3.7109375,4.3945312,6.5449299812316895,2024-04-11 05:21:00.184459
49,2.748448,5.9570312,3.8085938,4.3945312,6.5237462520599365,2024-04-11 05:21:06.708569
50,2.748448,6.0546875,3.7109375,4.4921875,6.429193496704102,2024-04-11 05:21:13.138283
51,2.748448,6.1523438,3.8085938,4.6875,6.4416117668151855,2024-04-11 05:21:19.580355
52,2.748448,6.1523438,3.7109375,4.6875,6.363682508468628,2024-04-11 05:21:25.944483
53,2.748448,6.25,3.6132812,4.8828125,6.532782316207886,2024-04-11 05:21:32.477620
54,2.748448,6.1523438,3.6132812,4.8828125,6.419135808944702,2024-04-11 05:21:38.897302
55,2.748448,6.25,3.6132812,4.9804688,6.433497428894043,2024-04-11 05:21:45.331168
56,2.748448,6.1523438,3.6132812,4.9804688,6.482977390289307,2024-04-11 05:21:51.814583
57,2.748448,6.1523438,3.6132812,4.8828125,6.482273101806641,2024-04-11 05:21:58.297494
58,2.748448,6.3476562,3.6132812,4.8828125,6.361035346984863,2024-04-11 05:22:04.658940
59,2.748448,6.3476562,3.515625,4.7851562,6.523557424545288,2024-04-11 05:22:11.183156
60,2.748448,6.3476562,3.515625,4.8828125,6.473539113998413,2024-04-11 05:22:17.657343
61,2.748448,6.3476562,3.6132812,4.9804688,6.419115781784058,2024-04-11 05:22:24.077105
62,2.748448,6.3476562,3.6132812,4.9804688,6.330427646636963,2024-04-11 05:22:30.407914
63,2.748448,6.3476562,3.6132812,4.8828125,6.517240524291992,2024-04-11 05:22:36.925815
64,2.748448,6.3476562,3.7109375,4.7851562,6.5174338817596436,2024-04-11 05:22:43.443675
65,2.748448,6.25,3.7109375,4.7851562,6.144277572631836,2024-04-11 05:22:49.588332
66,2.748448,6.3476562,3.7109375,4.7851562,6.442919015884399,2024-04-11 05:22:56.031732
67,2.748448,6.4453125,3.8085938,4.9804688,6.440297365188599,2024-04-11 05:23:02.472384
68,2.748448,6.4453125,3.8085938,5.078125,6.445156574249268,2024-04-11 05:23:08.917971
69,2.748448,6.3476562,4.0039062,5.1757812,6.6058666706085205,2024-04-11 05:23:15.524491
70,2.748448,6.4453125,4.0039062,5.1757812,6.451404571533203,2024-04-11 05:23:21.976426
71,2.748448,6.3476562,4.0039062,5.1757812,6.378231763839722,2024-04-11 05:23:28.355105
72,2.748448,6.3476562,4.0039062,5.2734375,6.459105491638184,2024-04-11 05:23:34.814599
73,2.748448,6.3476562,4.1015625,5.3710938,6.477407693862915,2024-04-11 05:23:41.292356
74,2.748448,6.3476562,4.1015625,5.2734375,6.303740501403809,2024-04-11 05:23:47.596571
75,2.748448,6.3476562,4.1015625,5.2734375,6.380265474319458,2024-04-11 05:23:53.977234
76,2.748448,6.3476562,4.1015625,5.3710938,6.453776121139526,2024-04-11 05:24:00.431376
77,2.748448,6.3476562,4.1015625,5.46875,6.485985994338989,2024-04-11 05:24:06.917756
78,2.820193,6.25,4.1015625,5.5664062,6.599794149398804,2024-04-11 05:24:13.517917
