iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,0.8628513,-4.335173,4.148614,-1.7454796,6.0546875,3.4179688,4.1992188,11.727956771850586,2024-04-02 21:19:39.859965
2,0.8628513,-7.8249893,4.2545714,-1.6907413,8.300781,3.6132812,4.9804688,7.210250616073608,2024-04-02 21:19:47.070605
3,0.8628513,-7.7432575,5.293127,-1.8509314,9.667969,4.1015625,5.2734375,7.269367218017578,2024-04-02 21:19:54.340416
4,0.8628513,-6.5728736,5.431294,-0.8537328,10.9375,4.296875,5.859375,7.331099510192871,2024-04-02 21:20:01.671986
5,0.8628513,-6.383358,4.992442,-0.371073,11.71875,4.6875,6.4453125,7.286179780960083,2024-04-02 21:20:08.958753
6,0.8628513,-6.289095,5.602625,-0.28382564,12.3046875,5.1757812,7.2265625,7.261596918106079,2024-04-02 21:20:16.220749
7,0.8628513,-7.7799273,4.6901608,-0.50669587,13.183594,5.9570312,7.9101562,7.258958339691162,2024-04-02 21:20:23.480142
8,0.8628513,-7.1984696,4.9438667,-2.445864,13.8671875,6.4453125,8.886719,7.412942886352539,2024-04-02 21:20:30.893652
9,0.8628513,-6.8474236,5.4766903,-2.7032688,14.2578125,6.8359375,9.1796875,7.335218906402588,2024-04-02 21:20:38.229610
10,0.8628513,-5.5979266,5.615449,1.7737921,14.453125,7.5195312,9.5703125,7.3097984790802,2024-04-02 21:20:45.539787
11,0.8628513,-8.189304,6.2038364,2.4373107,14.6484375,7.8125,10.253906,7.177000284194946,2024-04-02 21:20:52.717199
12,0.8628513,-7.793438,6.3714323,3.0648692,15.136719,8.105469,10.644531,7.084282159805298,2024-04-02 21:20:59.801880
13,1.3571377,-6.6190825,6.1002007,3.8943052,15.527344,8.984375,10.9375,7.081963300704956,2024-04-02 21:21:06.884318
14,1.3571377,-3.255606,6.293573,3.8002386,15.8203125,9.277344,11.621094,7.184281587600708,2024-04-02 21:21:14.069031
15,1.3571377,-3.4659214,6.424083,4.3616233,15.917969,9.472656,11.816406,7.223318099975586,2024-04-02 21:21:21.292741
16,1.3571377,-6.229314,7.216372,4.562623,16.015625,9.667969,12.207031,7.0842931270599365,2024-04-02 21:21:28.377545
17,1.3571377,-5.4778624,8.002562,6.0207386,16.210938,10.058594,12.402344,7.191744804382324,2024-04-02 21:21:35.569678
18,1.3571377,-4.477215,8.243618,5.6889725,16.40625,10.058594,12.597656,7.188077211380005,2024-04-02 21:21:42.758139
19,1.3571377,-3.4144244,8.738461,5.772457,16.503906,10.15625,13.183594,7.114855051040649,2024-04-02 21:21:49.873419
20,1.3571377,-2.6869287,9.829384,6.0573435,16.503906,10.253906,13.8671875,7.149621963500977,2024-04-02 21:21:57.023440
21,1.3571377,-1.8244996,10.820446,5.9932013,16.601562,10.449219,14.355469,7.287154912948608,2024-04-02 21:22:04.311024
22,1.3571377,-1.1467271,11.029333,5.9525437,16.796875,10.9375,14.550781,7.191871166229248,2024-04-02 21:22:11.503297
23,1.3571377,-0.6685729,11.615221,5.34725,16.992188,11.230469,15.0390625,7.09408974647522,2024-04-02 21:22:18.597985
24,1.3571377,-0.36839008,12.37179,5.783682,17.089844,11.328125,15.625,7.105275392532349,2024-04-02 21:22:25.703745
25,1.3571377,-0.10138893,12.399639,5.856159,17.089844,11.9140625,15.625,7.271144866943359,2024-04-02 21:22:32.975371
26,1.3571377,0.054581642,13.578005,6.664001,17.480469,12.109375,15.917969,7.081067323684692,2024-04-02 21:22:40.056846
27,1.3571377,0.34898424,13.80127,8.046413,17.578125,12.402344,16.308594,7.249680280685425,2024-04-02 21:22:47.306987
28,1.3571377,1.7392726,15.192282,8.958136,17.578125,12.597656,16.894531,7.13766884803772,2024-04-02 21:22:54.445066
29,1.3571377,2.2567096,16.134308,10.010054,17.578125,12.597656,16.894531,7.171308517456055,2024-04-02 21:23:01.616780
30,1.3571377,2.4820142,16.732067,11.238761,17.578125,12.792969,17.285156,7.2746593952178955,2024-04-02 21:23:08.891943
31,1.3571377,2.6728256,17.707378,12.199441,17.773438,13.28125,17.382812,7.159430503845215,2024-04-02 21:23:16.051889
32,1.9712093,4.964336,19.915026,14.590555,17.773438,13.378906,17.871094,7.190775632858276,2024-04-02 21:23:23.243115
33,1.9712093,5.201477,20.43098,14.807859,17.96875,13.671875,17.871094,7.108871936798096,2024-04-02 21:23:30.352392
34,1.9712093,5.415427,21.151154,15.591459,18.066406,13.671875,18.066406,7.129330158233643,2024-04-02 21:23:37.482131
35,1.9712093,5.635706,21.15767,15.6856365,18.164062,13.8671875,18.652344,7.040157794952393,2024-04-02 21:23:44.522992
36,1.9712093,6.0684767,21.885044,16.476562,18.261719,14.0625,18.75,7.210378646850586,2024-04-02 21:23:51.734059
37,1.9712093,6.6910915,22.59282,16.876291,18.261719,14.2578125,18.847656,7.129131317138672,2024-04-02 21:23:58.863689
38,1.9712093,6.750132,23.411942,16.822233,18.261719,14.2578125,19.042969,7.14706826210022,2024-04-02 21:24:06.011417
39,1.9712093,6.8556614,23.831158,16.822323,18.261719,14.453125,19.042969,7.144948720932007,2024-04-02 21:24:13.156780
40,1.9712093,6.9144597,23.69428,16.91693,18.261719,14.6484375,19.238281,7.041491985321045,2024-04-02 21:24:20.198733
41,1.9712093,7.5706124,24.262178,17.277908,18.359375,14.746094,19.53125,7.065549850463867,2024-04-02 21:24:27.264695
42,1.9712093,7.5706124,24.981907,14.936794,18.359375,15.0390625,19.921875,6.968167781829834,2024-04-02 21:24:34.233307
43,1.9712093,8.222363,25.753437,15.350859,18.359375,15.0390625,19.921875,7.157694339752197,2024-04-02 21:24:41.391547
44,1.9712093,9.200752,26.397297,15.845888,18.359375,15.234375,19.921875,7.089433193206787,2024-04-02 21:24:48.481426
45,1.9712093,9.760336,26.525663,16.113968,18.457031,15.4296875,20.214844,7.101639270782471,2024-04-02 21:24:55.583579
46,1.9712093,10.026745,27.15749,16.339312,18.457031,15.625,20.507812,7.19094181060791,2024-04-02 21:25:02.775175
47,1.9712093,10.4669695,27.98845,17.769096,18.554688,15.8203125,20.800781,7.053267955780029,2024-04-02 21:25:09.828850
48,1.9712093,10.200934,28.301641,17.592886,18.75,16.113281,21.191406,7.285355567932129,2024-04-02 21:25:17.114691
49,1.9712093,10.243816,28.836079,17.52359,18.75,16.308594,21.484375,7.1081016063690186,2024-04-02 21:25:24.223205
50,1.9712093,10.898532,29.155476,17.554848,18.75,16.308594,21.582031,7.151115894317627,2024-04-02 21:25:31.374734
51,1.9712093,10.938046,30.06724,18.41089,18.75,16.308594,21.582031,7.060539484024048,2024-04-02 21:25:38.435688
52,1.9712093,11.744482,31.214787,19.456488,18.75,16.503906,21.972656,7.136286497116089,2024-04-02 21:25:45.572382
53,1.9712093,12.370168,32.74799,20.44833,18.75,16.601562,22.070312,7.242427110671997,2024-04-02 21:25:52.815425
54,1.9712093,12.499912,32.86541,20.873665,18.847656,16.601562,22.167969,7.240768194198608,2024-04-02 21:26:00.056697
55,1.9712093,12.680487,33.32219,20.95575,18.847656,16.601562,22.65625,7.291696786880493,2024-04-02 21:26:07.349054
56,1.9712093,16.479237,33.860428,21.834476,18.847656,16.699219,22.949219,7.184815883636475,2024-04-02 21:26:14.534477
57,1.9712093,16.696579,34.718628,21.899494,18.847656,16.894531,22.949219,7.152829170227051,2024-04-02 21:26:21.687727
58,1.9712093,16.68188,35.120895,21.831596,18.945312,16.992188,23.144531,7.133765459060669,2024-04-02 21:26:28.821873
59,1.9712093,17.083515,35.781555,22.9035,18.945312,16.992188,23.242188,7.222986936569214,2024-04-02 21:26:36.045641
60,1.9712093,17.491205,36.15335,21.802288,18.945312,17.089844,23.535156,7.137031555175781,2024-04-02 21:26:43.183191
61,1.9712093,17.527218,36.58273,21.518114,19.042969,17.089844,23.730469,6.980504035949707,2024-04-02 21:26:50.164110
62,1.9712093,18.21502,37.287247,19.802452,19.140625,17.285156,23.828125,7.051137447357178,2024-04-02 21:26:57.215640
63,1.9712093,18.568817,37.81608,20.291012,19.140625,17.382812,24.023438,7.051153182983398,2024-04-02 21:27:04.267200
64,1.9712093,20.471058,39.06707,20.301704,19.140625,17.578125,24.121094,7.16316819190979,2024-04-02 21:27:11.430779
