iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,0.65770733,-16.335543,-1.0918717,2.493074,6.4453125,3.2226562,4.296875,9.392251968383789,2024-03-29 15:41:16.608580
2,0.65770733,-6.7722898,1.0870346,4.728098,8.203125,3.3203125,5.1757812,5.88433575630188,2024-03-29 15:41:22.493262
3,0.65770733,-4.0402937,1.9842911,5.342272,9.667969,3.4179688,6.9335938,6.230789422988892,2024-03-29 15:41:28.724430
4,0.80068296,-2.0871744,3.2236314,6.4172297,11.621094,3.7109375,8.3984375,6.158625364303589,2024-03-29 15:41:34.883473
5,0.9415715,3.3150473,5.2051315,8.130634,12.792969,4.1992188,9.667969,6.3514564037323,2024-03-29 15:41:41.235327
6,0.9909855,8.263572,7.1848087,11.417195,14.0625,4.4921875,10.253906,6.27500581741333,2024-03-29 15:41:47.510683
7,0.9909855,9.217932,8.659633,11.836382,14.941406,4.9804688,11.71875,6.1099021434783936,2024-03-29 15:41:53.621129
8,1.6120089,12.950903,14.309328,15.4642105,15.722656,5.1757812,12.5,6.245364665985107,2024-03-29 15:41:59.866870
9,1.6120089,17.551603,15.17371,16.90538,16.503906,5.6640625,13.671875,6.212611675262451,2024-03-29 15:42:06.079879
10,1.6120089,19.499493,16.46764,21.145468,17.089844,5.7617188,14.6484375,6.054677724838257,2024-03-29 15:42:12.134895
11,1.6120089,21.6151,17.273613,23.75142,17.382812,5.859375,15.136719,6.042902708053589,2024-03-29 15:42:18.178170
12,1.6120089,24.200752,18.202509,24.925535,18.066406,5.9570312,15.722656,6.287807941436768,2024-03-29 15:42:24.466321
13,1.6120089,26.037186,18.800613,27.84871,18.164062,6.0546875,16.308594,6.121706247329712,2024-03-29 15:42:30.588401
14,1.8948796,34.79176,21.284187,32.1007,19.140625,6.0546875,16.699219,6.150291204452515,2024-03-29 15:42:36.739076
15,1.8948796,37.303574,21.31768,35.359177,19.238281,6.25,16.894531,6.028910875320435,2024-03-29 15:42:42.768323
16,1.8948796,43.461555,21.523178,38.625927,19.726562,6.5429688,17.382812,6.311805963516235,2024-03-29 15:42:49.080498
17,1.8948796,46.096684,21.959488,41.83872,20.019531,6.9335938,17.578125,6.271511793136597,2024-03-29 15:42:55.352503
18,1.8948796,47.42367,22.312443,45.99008,20.410156,7.1289062,17.773438,6.23470139503479,2024-03-29 15:43:01.587735
19,1.8948796,50.93285,22.528124,49.04116,20.605469,7.2265625,18.261719,6.2401251792907715,2024-03-29 15:43:07.828203
20,1.8948796,50.080986,23.017311,50.648335,21.191406,7.5195312,18.359375,6.216493368148804,2024-03-29 15:43:14.045069
21,1.8948796,52.38312,24.455498,53.966694,21.582031,7.7148438,18.652344,6.572835445404053,2024-03-29 15:43:20.618279
22,1.8948796,53.615364,24.456612,56.12175,21.972656,7.9101562,19.042969,6.085775136947632,2024-03-29 15:43:26.704511
23,1.8948796,55.055397,24.941572,57.632137,22.265625,8.0078125,19.042969,6.207399845123291,2024-03-29 15:43:32.912309
24,1.8948796,57.535126,25.448875,58.294365,22.65625,8.0078125,19.53125,6.334686040878296,2024-03-29 15:43:39.247430
25,1.8948796,58.96797,25.757793,59.081696,22.851562,8.300781,19.921875,6.233009338378906,2024-03-29 15:43:45.480939
26,1.8948796,62.06024,25.458534,61.615894,23.339844,8.3984375,20.019531,6.206970691680908,2024-03-29 15:43:51.688284
27,1.8948796,59.92986,26.962019,62.25228,23.632812,8.59375,20.507812,6.017753601074219,2024-03-29 15:43:57.706403
