iteration,max_fitness,coverage1,coverage2,coverage3,time,current_time
1,0.72102875,2.4414062,1.2695312,2.0507812,8.076995611190796,2024-04-10 21:46:12.922000
2,0.7784702,3.125,1.7578125,2.6367188,6.850419282913208,2024-04-10 21:46:19.772984
3,1.4671925,3.125,1.8554688,2.6367188,6.763782024383545,2024-04-10 21:46:26.537121
4,1.4671925,3.4179688,2.0507812,2.9296875,6.869042634963989,2024-04-10 21:46:33.406493
5,2.4028957,3.515625,1.8554688,3.0273438,6.934333324432373,2024-04-10 21:46:40.341236
6,2.4028957,3.7109375,2.0507812,3.0273438,6.981040954589844,2024-04-10 21:46:47.322719
7,2.4028957,3.7109375,1.8554688,3.0273438,6.920476198196411,2024-04-10 21:46:54.243796
8,2.4028957,4.0039062,2.0507812,3.0273438,6.825671911239624,2024-04-10 21:47:01.070107
9,2.4028957,4.1015625,2.1484375,3.3203125,7.01000189781189,2024-04-10 21:47:08.080500
10,2.4028957,4.3945312,2.4414062,3.515625,6.9274351596832275,2024-04-10 21:47:15.008400
11,2.4028957,4.5898438,2.5390625,3.6132812,7.05662202835083,2024-04-10 21:47:22.065609
12,2.4028957,4.9804688,2.6367188,3.6132812,6.837596893310547,2024-04-10 21:47:28.903600
13,2.4028957,4.7851562,2.8320312,3.7109375,6.802070379257202,2024-04-10 21:47:35.706167
14,2.4028957,4.8828125,2.734375,3.8085938,6.857771873474121,2024-04-10 21:47:42.564267
15,2.4028957,4.7851562,2.734375,4.0039062,6.8805601596832275,2024-04-10 21:47:49.445191
16,2.807654,4.7851562,2.734375,4.1015625,7.0695459842681885,2024-04-10 21:47:56.515128
17,3.6471303,4.8828125,2.6367188,3.90625,6.881426811218262,2024-04-10 21:48:03.396921
18,3.6471303,5.2734375,2.734375,4.1992188,6.801135540008545,2024-04-10 21:48:10.198538
19,3.6471303,5.1757812,2.9296875,4.1992188,6.929598808288574,2024-04-10 21:48:17.128639
20,3.6471303,5.1757812,2.8320312,4.1992188,6.596399545669556,2024-04-10 21:48:23.725673
21,3.6471303,5.2734375,2.8320312,4.296875,6.957780122756958,2024-04-10 21:48:30.683840
22,3.6471303,5.1757812,2.8320312,4.1992188,6.805783987045288,2024-04-10 21:48:37.490200
23,3.6471303,5.1757812,2.8320312,4.296875,6.781914710998535,2024-04-10 21:48:44.272581
24,3.6471303,5.2734375,2.9296875,4.3945312,6.72616982460022,2024-04-10 21:48:50.999271
25,3.6471303,5.2734375,2.9296875,4.3945312,6.906015634536743,2024-04-10 21:48:57.905783
26,3.6471303,5.2734375,2.9296875,4.3945312,6.876427173614502,2024-04-10 21:49:04.782570
27,3.6471303,5.2734375,3.0273438,4.296875,6.7202348709106445,2024-04-10 21:49:11.503362
28,3.6471303,5.2734375,3.0273438,4.296875,6.790835618972778,2024-04-10 21:49:18.294548
29,3.6471303,5.2734375,3.0273438,4.1992188,6.927955865859985,2024-04-10 21:49:25.223140
30,3.6471303,5.3710938,2.9296875,4.3945312,6.876754522323608,2024-04-10 21:49:32.100226
31,3.6471303,5.3710938,3.2226562,4.3945312,6.8513123989105225,2024-04-10 21:49:38.952082
32,3.6471303,5.2734375,3.3203125,4.5898438,6.7157816886901855,2024-04-10 21:49:45.668221
33,3.6471303,5.2734375,3.3203125,4.6875,6.899453163146973,2024-04-10 21:49:52.568013
34,3.6471303,5.3710938,3.3203125,4.7851562,6.688032388687134,2024-04-10 21:49:59.256398
35,3.6471303,5.3710938,3.3203125,4.6875,6.759907960891724,2024-04-10 21:50:06.016612
36,3.6471303,5.3710938,3.4179688,4.6875,6.871017217636108,2024-04-10 21:50:12.887994
37,3.6471303,5.46875,3.515625,4.7851562,6.863277435302734,2024-04-10 21:50:19.751760
38,3.6471303,5.5664062,3.6132812,4.8828125,6.824390649795532,2024-04-10 21:50:26.576490
39,3.6471303,5.5664062,3.515625,4.8828125,6.838261365890503,2024-04-10 21:50:33.415138
40,3.6471303,6.0546875,3.515625,5.078125,6.74169397354126,2024-04-10 21:50:40.157276
41,3.6471303,6.25,3.6132812,5.078125,6.925700426101685,2024-04-10 21:50:47.083305
42,3.6471303,6.3476562,3.7109375,5.2734375,6.852274417877197,2024-04-10 21:50:53.936143
43,3.6471303,6.5429688,3.7109375,5.2734375,6.747745513916016,2024-04-10 21:51:00.684522
44,3.6471303,6.640625,3.7109375,5.3710938,6.8746583461761475,2024-04-10 21:51:07.559739
45,3.6471303,6.5429688,3.8085938,5.3710938,6.9904468059539795,2024-04-10 21:51:14.550820
46,3.6471303,6.640625,3.8085938,5.1757812,6.717288017272949,2024-04-10 21:51:21.268434
47,3.6471303,6.640625,3.90625,5.1757812,6.631018877029419,2024-04-10 21:51:27.899795
48,3.7178867,6.640625,3.90625,5.078125,6.898554563522339,2024-04-10 21:51:34.798904
49,3.7178867,6.7382812,3.8085938,4.9804688,6.75206995010376,2024-04-10 21:51:41.551357
50,3.7178867,6.640625,3.8085938,4.8828125,6.95295262336731,2024-04-10 21:51:48.504658
51,3.7178867,6.640625,3.8085938,4.9804688,6.661478042602539,2024-04-10 21:51:55.166779
52,3.7178867,6.640625,3.8085938,4.9804688,6.688950538635254,2024-04-10 21:52:01.856097
53,3.7178867,6.7382812,3.8085938,4.9804688,6.844777822494507,2024-04-10 21:52:08.701286
54,3.7178867,6.7382812,3.7109375,4.9804688,6.859994411468506,2024-04-10 21:52:15.561615
55,3.7178867,6.7382812,3.7109375,4.9804688,6.814753532409668,2024-04-10 21:52:22.376731
56,3.7178867,6.7382812,3.7109375,5.078125,6.688021659851074,2024-04-10 21:52:29.065120
57,3.7178867,6.8359375,3.90625,5.3710938,6.514142274856567,2024-04-10 21:52:35.579589
58,3.7178867,6.8359375,3.90625,5.3710938,6.704934597015381,2024-04-10 21:52:42.285069
59,3.7178867,7.03125,3.90625,5.2734375,6.810739278793335,2024-04-10 21:52:49.096176
60,3.7178867,7.03125,3.90625,5.2734375,6.7403037548065186,2024-04-10 21:52:55.836853
61,3.7178867,6.8359375,3.90625,5.2734375,6.837187051773071,2024-04-10 21:53:02.674415
