max_fitness,seed,task,sampling,repertoire,coverage1,coverage2,coverage3
4.4683433,0,BridgeWalker-v0,ga,all,,,
4.959429,0,BridgeWalker-v0,all,g1,4.8828125,3.4179688,2.0507812
6.391897,0,BridgeWalker-v0,all,g2,0.29296875,4.8828125,1.2695312
6.391897,0,BridgeWalker-v0,all,g3,0.390625,3.515625,1.6601562
3.3160653,0,BridgeWalker-v0,s1,g1,4.8828125,0.9765625,0.87890625
3.302593,0,BridgeWalker-v0,s1,g2,3.0273438,4.8828125,1.4648438
3.248779,0,BridgeWalker-v0,s1,g3,2.5390625,1.3671875,1.5625
6.110896,0,BridgeWalker-v0,s2,g1,4.1015625,3.8085938,1.7578125
6.110896,0,BridgeWalker-v0,s2,g2,0.1953125,4.8828125,1.4648438
6.110896,0,BridgeWalker-v0,s2,g3,0.1953125,3.125,1.6601562
3.602044,0,BridgeWalker-v0,s3,g1,3.8085938,2.5390625,2.0507812
3.7145133,0,BridgeWalker-v0,s3,g2,0.1953125,4.8828125,3.4179688
3.722492,0,BridgeWalker-v0,s3,g3,0.1953125,2.2460938,2.9296875
1.8840704,1,BridgeWalker-v0,ga,all,,,
4.254878,1,BridgeWalker-v0,all,g1,4.8828125,2.734375,2.5390625
4.4995832,1,BridgeWalker-v0,all,g2,0.29296875,4.8828125,2.2460938
4.580315,1,BridgeWalker-v0,all,g3,0.48828125,1.953125,1.3671875
6.2206755,1,BridgeWalker-v0,s1,g1,4.8828125,1.7578125,0.87890625
6.2206755,1,BridgeWalker-v0,s1,g2,3.0273438,4.8828125,1.171875
6.2206755,1,BridgeWalker-v0,s1,g3,2.4414062,1.6601562,1.171875
3.910252,1,BridgeWalker-v0,s2,g1,4.4921875,3.90625,1.953125
4.842544,1,BridgeWalker-v0,s2,g2,0.1953125,4.8828125,0.78125
4.5857944,1,BridgeWalker-v0,s2,g3,0.1953125,3.3203125,1.171875
1.9004955,1,BridgeWalker-v0,s3,g1,4.5898438,3.3203125,2.2460938
3.2094471,1,BridgeWalker-v0,s3,g2,0.29296875,4.8828125,2.4414062
2.1018915,1,BridgeWalker-v0,s3,g3,0.09765625,1.7578125,1.5625
1.9876424,2,BridgeWalker-v0,ga,all,,,
6.5652056,2,BridgeWalker-v0,all,g1,4.8828125,2.9296875,2.5390625
6.5652056,2,BridgeWalker-v0,all,g2,0.1953125,4.8828125,3.0273438
6.5679893,2,BridgeWalker-v0,all,g3,0.29296875,2.4414062,3.2226562
3.5596588,2,BridgeWalker-v0,s1,g1,4.8828125,0.78125,0.390625
3.6381123,2,BridgeWalker-v0,s1,g2,2.8320312,4.8828125,0.78125
3.6381123,2,BridgeWalker-v0,s1,g3,2.6367188,1.6601562,0.78125
4.433551,2,BridgeWalker-v0,s2,g1,4.1015625,3.90625,1.5625
4.433551,2,BridgeWalker-v0,s2,g2,0.1953125,4.8828125,0.9765625
4.4978456,2,BridgeWalker-v0,s2,g3,0.1953125,3.2226562,0.78125
3.824806,2,BridgeWalker-v0,s3,g1,4.8828125,3.3203125,2.2460938
3.8394175,2,BridgeWalker-v0,s3,g2,0.390625,4.8828125,2.5390625
3.4605827,2,BridgeWalker-v0,s3,g3,0.1953125,1.5625,1.4648438
2.0794976,3,BridgeWalker-v0,ga,all,,,
4.2158017,3,BridgeWalker-v0,all,g1,4.8828125,3.8085938,2.4414062
4.6326795,3,BridgeWalker-v0,all,g2,0.390625,4.8828125,1.4648438
4.6326795,3,BridgeWalker-v0,all,g3,0.390625,2.8320312,1.5625
3.3067372,3,BridgeWalker-v0,s1,g1,4.8828125,1.2695312,0.87890625
3.2693675,3,BridgeWalker-v0,s1,g2,2.8320312,4.8828125,1.0742188
3.3067372,3,BridgeWalker-v0,s1,g3,2.5390625,1.171875,0.87890625
3.9114065,3,BridgeWalker-v0,s2,g1,4.0039062,3.6132812,2.2460938
6.354196,3,BridgeWalker-v0,s2,g2,0.09765625,4.8828125,1.171875
6.354196,3,BridgeWalker-v0,s2,g3,0.09765625,2.6367188,1.0742188
3.846098,3,BridgeWalker-v0,s3,g1,4.6875,2.8320312,3.7109375
4.3976192,3,BridgeWalker-v0,s3,g2,0.09765625,4.8828125,2.734375
4.618798,3,BridgeWalker-v0,s3,g3,0.09765625,0.9765625,1.8554688
3.4833512,4,BridgeWalker-v0,ga,all,,,
3.264956,4,BridgeWalker-v0,all,g1,4.8828125,2.6367188,1.6601562
3.264956,4,BridgeWalker-v0,all,g2,0.5859375,4.8828125,1.7578125
2.8565338,4,BridgeWalker-v0,all,g3,0.5859375,2.9296875,1.5625
5.1705346,4,BridgeWalker-v0,s1,g1,4.8828125,1.953125,1.8554688
6.379654,4,BridgeWalker-v0,s1,g2,1.6601562,4.8828125,1.8554688
6.379654,4,BridgeWalker-v0,s1,g3,1.2695312,1.953125,1.7578125
4.955435,4,BridgeWalker-v0,s2,g1,4.0039062,3.3203125,1.8554688
4.956785,4,BridgeWalker-v0,s2,g2,0.09765625,4.8828125,1.4648438
4.956785,4,BridgeWalker-v0,s2,g3,0.390625,3.4179688,1.7578125
4.1516914,4,BridgeWalker-v0,s3,g1,4.1992188,1.953125,1.7578125
4.62794,4,BridgeWalker-v0,s3,g2,0.48828125,4.8828125,1.8554688
4.62794,4,BridgeWalker-v0,s3,g3,0.390625,1.8554688,1.4648438
1.9452124,5,BridgeWalker-v0,ga,all,,,
3.3715653,5,BridgeWalker-v0,all,g1,4.8828125,3.8085938,2.0507812
4.1348214,5,BridgeWalker-v0,all,g2,0.5859375,4.8828125,2.5390625
