iteration,max_fitness,time,current_time
1,0.66135734,5.395903587341309,2024-03-09 21:18:51.115715
2,1.4616399,4.879028558731079,2024-03-09 21:18:55.995175
3,1.4616399,4.895113468170166,2024-03-09 21:19:00.890701
4,1.4616399,4.781463623046875,2024-03-09 21:19:05.672904
5,1.4616399,4.753213167190552,2024-03-09 21:19:10.426537
6,1.4616399,4.744361400604248,2024-03-09 21:19:15.171375
7,1.6272734,4.801304340362549,2024-03-09 21:19:19.973198
8,1.6272734,4.858762979507446,2024-03-09 21:19:24.832383
9,1.6272734,4.917924642562866,2024-03-09 21:19:29.750729
10,1.7132175,4.858529329299927,2024-03-09 21:19:34.609722
11,1.7132175,4.810283899307251,2024-03-09 21:19:39.420532
12,1.7132175,4.826051235198975,2024-03-09 21:19:44.247000
13,1.7132175,4.779435396194458,2024-03-09 21:19:49.026955
14,1.7132175,4.952557563781738,2024-03-09 21:19:53.979923
15,1.7132175,4.834088563919067,2024-03-09 21:19:58.814430
16,1.7132175,4.8068952560424805,2024-03-09 21:20:03.621809
17,1.7132175,4.744873285293579,2024-03-09 21:20:08.367184
18,2.4176016,4.899649620056152,2024-03-09 21:20:13.267256
19,2.4176016,4.874409198760986,2024-03-09 21:20:18.142095
20,2.4176016,4.808724403381348,2024-03-09 21:20:22.951299
21,2.4176016,4.783621072769165,2024-03-09 21:20:27.735332
22,2.578671,4.796569108963013,2024-03-09 21:20:32.532322
23,2.578671,4.8948304653167725,2024-03-09 21:20:37.427575
24,2.578671,4.866979122161865,2024-03-09 21:20:42.295038
25,2.578671,4.904735088348389,2024-03-09 21:20:47.200366
26,2.578671,4.847391843795776,2024-03-09 21:20:52.048598
27,2.578671,4.78505277633667,2024-03-09 21:20:56.834071
28,2.578671,4.806787490844727,2024-03-09 21:21:01.641299
29,2.578671,4.960592985153198,2024-03-09 21:21:06.602384
30,2.578671,4.870989084243774,2024-03-09 21:21:11.473871
31,2.578671,4.901435852050781,2024-03-09 21:21:16.375954
32,2.578671,4.761790990829468,2024-03-09 21:21:21.138168
33,2.578671,4.875412940979004,2024-03-09 21:21:26.014095
34,2.578671,4.725653648376465,2024-03-09 21:21:30.740183
35,2.743285,4.837040662765503,2024-03-09 21:21:35.577639
36,2.743285,4.7889180183410645,2024-03-09 21:21:40.367078
37,2.743285,4.846003770828247,2024-03-09 21:21:45.213500
38,2.8044522,4.775848865509033,2024-03-09 21:21:49.989897
39,2.8044522,4.908588171005249,2024-03-09 21:21:54.899097
40,2.8044522,4.805829763412476,2024-03-09 21:21:59.705336
41,2.8044522,4.864936113357544,2024-03-09 21:22:04.570711
42,2.8044522,4.762343168258667,2024-03-09 21:22:09.333508
43,2.8044522,4.963307619094849,2024-03-09 21:22:14.297284
44,2.8044522,4.851833343505859,2024-03-09 21:22:19.149675
45,2.8044522,4.893172740936279,2024-03-09 21:22:24.043435
46,2.8044522,4.863101243972778,2024-03-09 21:22:28.906952
47,2.8044522,4.836498260498047,2024-03-09 21:22:33.743853
48,2.8044522,4.803017616271973,2024-03-09 21:22:38.547299
49,2.8044522,4.772993326187134,2024-03-09 21:22:43.320950
50,2.8044522,4.854865074157715,2024-03-09 21:22:48.176299
51,2.8044522,4.908876180648804,2024-03-09 21:22:53.085825
52,2.8044522,4.813162326812744,2024-03-09 21:22:57.899459
53,2.8044522,4.85028338432312,2024-03-09 21:23:02.750171
54,2.8044522,4.852163076400757,2024-03-09 21:23:07.602776
55,2.8044522,4.9060163497924805,2024-03-09 21:23:12.509235
56,2.8044522,4.840610980987549,2024-03-09 21:23:17.350299
57,2.8044522,4.835754632949829,2024-03-09 21:23:22.186522
58,2.8044522,4.835597038269043,2024-03-09 21:23:27.022606
59,2.8044522,4.858897924423218,2024-03-09 21:23:31.881960
60,2.8044522,4.869016170501709,2024-03-09 21:23:36.751433
61,2.8044522,4.8153462409973145,2024-03-09 21:23:41.567199
62,2.8044522,4.864006280899048,2024-03-09 21:23:46.431629
63,2.8044522,4.792827606201172,2024-03-09 21:23:51.224885
64,2.8044522,4.8223981857299805,2024-03-09 21:23:56.047712
65,2.8044522,4.840605735778809,2024-03-09 21:24:00.888986
66,2.8044522,4.878680944442749,2024-03-09 21:24:05.768149
67,2.8044522,4.847419738769531,2024-03-09 21:24:10.615984
68,2.8044522,4.885063409805298,2024-03-09 21:24:15.501532
69,2.8044522,4.817441463470459,2024-03-09 21:24:20.319493
70,2.8044522,4.868197202682495,2024-03-09 21:24:25.188124
71,2.8044522,4.921765327453613,2024-03-09 21:24:30.110320
72,2.8044522,4.829876661300659,2024-03-09 21:24:34.940661
73,2.8044522,4.72813606262207,2024-03-09 21:24:39.669223
74,2.969342,4.822347402572632,2024-03-09 21:24:44.492030
75,2.969342,4.834605932235718,2024-03-09 21:24:49.327293
76,2.969342,4.914297342300415,2024-03-09 21:24:54.242005
77,2.969342,4.83186411857605,2024-03-09 21:24:59.074300
78,2.9805086,4.748773574829102,2024-03-09 21:25:03.823541
79,2.9805086,4.726701021194458,2024-03-09 21:25:08.550665
80,2.9805086,4.7803795337677,2024-03-09 21:25:13.331517
81,2.9805086,4.787320852279663,2024-03-09 21:25:18.119277
82,2.9805086,4.735918760299683,2024-03-09 21:25:22.855620
83,2.9805086,4.8739213943481445,2024-03-09 21:25:27.729961
84,2.9805086,4.736982583999634,2024-03-09 21:25:32.467400
85,2.9805086,4.741619110107422,2024-03-09 21:25:37.209436
86,2.9805086,4.855600833892822,2024-03-09 21:25:42.065495
87,2.9805086,4.794886350631714,2024-03-09 21:25:46.861058
88,2.9805086,4.878684997558594,2024-03-09 21:25:51.740156
89,2.9805086,4.8947083950042725,2024-03-09 21:25:56.635367
90,2.9805086,4.949427604675293,2024-03-09 21:26:01.585222
91,2.9805086,4.822737216949463,2024-03-09 21:26:06.408654
92,2.9805086,4.838772773742676,2024-03-09 21:26:11.247866
93,2.9805086,4.804393768310547,2024-03-09 21:26:16.052679
94,2.9805086,4.879867076873779,2024-03-09 21:26:20.932959
95,2.9805086,4.856858253479004,2024-03-09 21:26:25.790243
96,2.9805086,4.864743232727051,2024-03-09 21:26:30.655456
97,2.9805086,4.846695184707642,2024-03-09 21:26:35.502575
98,3.1556716,4.882747411727905,2024-03-09 21:26:40.385977
99,3.1556716,4.874531984329224,2024-03-09 21:26:45.261030
100,3.1556716,4.780240297317505,2024-03-09 21:26:50.041914
101,3.1556716,4.807607650756836,2024-03-09 21:26:54.850001
102,3.1556716,4.891880035400391,2024-03-09 21:26:59.742341
103,3.1556716,4.756357669830322,2024-03-09 21:27:04.499127
104,3.1556716,4.786372184753418,2024-03-09 21:27:09.285908
105,3.1556716,4.840829849243164,2024-03-09 21:27:14.127207
106,3.1556716,4.952048063278198,2024-03-09 21:27:19.079685
107,3.1556716,4.867152214050293,2024-03-09 21:27:23.947266
108,3.1556716,4.738365173339844,2024-03-09 21:27:28.686066
109,3.1556716,4.906816244125366,2024-03-09 21:27:33.593352
