iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1963,7.7354527,544.98676,248.95822,2115.4827,22.851562,16.113281,64.16016,7.469667673110962,2024-04-03 09:20:16.370794
1964,7.7354527,545.322,248.95822,2115.4827,22.851562,16.113281,64.16016,7.655315399169922,2024-04-03 09:20:24.026533
1965,7.7354527,545.322,248.95822,2115.9146,22.851562,16.113281,64.16016,7.4519500732421875,2024-04-03 09:20:31.478932
1966,7.7354527,545.7878,251.1943,2121.068,22.851562,16.113281,64.16016,7.487590074539185,2024-04-03 09:20:38.966934
1967,7.7354527,546.7514,251.1943,2122.0183,22.851562,16.113281,64.16016,7.657317638397217,2024-04-03 09:20:46.624650
1968,7.7354527,546.7514,251.1943,2122.917,22.851562,16.113281,64.16016,7.595851898193359,2024-04-03 09:20:54.220985
1969,7.7354527,546.7514,251.1943,2123.3542,22.851562,16.113281,64.16016,7.46615743637085,2024-04-03 09:21:01.687534
1970,7.7354527,546.7514,251.1943,2124.3818,22.851562,16.113281,64.16016,7.439677953720093,2024-04-03 09:21:09.127804
1971,7.7354527,546.7514,251.1943,2124.961,22.851562,16.113281,64.25781,7.640073537826538,2024-04-03 09:21:16.768454
1972,7.7354527,547.0003,251.1943,2125.8262,22.851562,16.113281,64.35547,7.454992294311523,2024-04-03 09:21:24.224099
1973,7.7354527,547.0003,251.1943,2125.8262,22.851562,16.113281,64.35547,7.334208726882935,2024-04-03 09:21:31.558746
1974,7.7354527,547.0003,251.1943,2125.8262,22.851562,16.113281,64.35547,7.440364360809326,2024-04-03 09:21:38.999531
1975,7.7354527,547.0003,251.1943,2127.1846,22.851562,16.113281,64.35547,7.384678363800049,2024-04-03 09:21:46.384653
1976,7.7354527,547.0003,251.1943,2127.2175,22.851562,16.113281,64.35547,7.437802076339722,2024-04-03 09:21:53.822883
1977,7.7354527,547.08276,251.1943,2127.671,22.851562,16.113281,64.35547,7.479355573654175,2024-04-03 09:22:01.302657
1978,7.7354527,547.08276,251.1943,2128.704,22.851562,16.113281,64.35547,7.459944248199463,2024-04-03 09:22:08.763031
1979,7.7354527,547.08276,251.1943,2128.704,22.851562,16.113281,64.35547,7.3545081615448,2024-04-03 09:22:16.117995
1980,7.7354527,547.1155,251.1943,2130.481,22.851562,16.113281,64.35547,7.636296033859253,2024-04-03 09:22:23.755008
1981,7.7354527,547.1155,251.1943,2130.481,22.851562,16.113281,64.35547,7.594850540161133,2024-04-03 09:22:31.350284
1982,7.7354527,547.1155,251.1943,2132.9033,22.851562,16.113281,64.35547,7.405607461929321,2024-04-03 09:22:38.756334
1983,7.7354527,547.1155,251.1943,2134.245,22.851562,16.113281,64.35547,7.582121133804321,2024-04-03 09:22:46.338922
1984,7.7354527,547.9345,251.1943,2138.2217,22.851562,16.113281,64.35547,7.44206976890564,2024-04-03 09:22:53.781425
1985,7.7354527,547.9345,251.1943,2138.3013,22.851562,16.113281,64.35547,7.4428935050964355,2024-04-03 09:23:01.224803
