iteration,max_fitness,time,current_time
1,0.07995787,6.9618964195251465,2024-03-07 22:26:03.624560
2,0.16436908,6.430759429931641,2024-03-07 22:26:10.055737
3,0.18184191,6.4415106773376465,2024-03-07 22:26:16.497700
4,0.18184191,6.580440998077393,2024-03-07 22:26:23.078732
5,0.18184191,6.588449239730835,2024-03-07 22:26:29.667656
6,0.18184191,6.494224548339844,2024-03-07 22:26:36.162306
7,0.18184191,6.519944190979004,2024-03-07 22:26:42.682732
8,0.18184191,6.597240924835205,2024-03-07 22:26:49.280424
9,0.18184191,6.367923736572266,2024-03-07 22:26:55.649012
10,1.2186329,6.643808841705322,2024-03-07 22:27:02.293310
11,1.2186329,6.562637090682983,2024-03-07 22:27:08.856533
12,1.2186329,6.529453992843628,2024-03-07 22:27:15.386567
13,1.2186329,6.64499831199646,2024-03-07 22:27:22.031976
14,1.2186329,6.526431322097778,2024-03-07 22:27:28.558825
15,1.2186329,6.551141262054443,2024-03-07 22:27:35.110451
16,1.2186329,6.600163459777832,2024-03-07 22:27:41.711102
17,1.2186329,6.476092576980591,2024-03-07 22:27:48.187609
18,1.2186329,6.467517137527466,2024-03-07 22:27:54.655545
19,1.2186329,6.510356426239014,2024-03-07 22:28:01.166331
20,1.2186329,6.652809381484985,2024-03-07 22:28:07.819713
21,1.2186329,6.5321526527404785,2024-03-07 22:28:14.352283
22,1.2186329,6.506855726242065,2024-03-07 22:28:20.859572
23,1.4407899,6.605835914611816,2024-03-07 22:28:27.465825
24,1.4407899,6.5118608474731445,2024-03-07 22:28:33.978155
25,1.4407899,6.61627984046936,2024-03-07 22:28:40.594885
26,1.4407899,6.526359558105469,2024-03-07 22:28:47.121651
27,1.4407899,6.461355686187744,2024-03-07 22:28:53.583603
28,1.4407899,6.5128333568573,2024-03-07 22:29:00.096852
29,1.4407899,6.490200519561768,2024-03-07 22:29:06.587591
30,1.4407899,6.5223283767700195,2024-03-07 22:29:13.110349
31,1.4407899,6.591504096984863,2024-03-07 22:29:19.702318
32,1.4407899,6.554926872253418,2024-03-07 22:29:26.257699
33,1.4407899,6.490905284881592,2024-03-07 22:29:32.749131
34,1.4407899,6.4952170848846436,2024-03-07 22:29:39.245000
35,1.4407899,6.531655311584473,2024-03-07 22:29:45.777077
36,1.4407899,6.564575672149658,2024-03-07 22:29:52.342090
37,1.4407899,6.4682440757751465,2024-03-07 22:29:58.810787
38,1.4407899,6.51624059677124,2024-03-07 22:30:05.327670
39,1.4407899,6.363783359527588,2024-03-07 22:30:11.691876
40,1.4407899,6.674461126327515,2024-03-07 22:30:18.366756
41,1.4407899,6.496425151824951,2024-03-07 22:30:24.863643
42,1.4407899,6.57524299621582,2024-03-07 22:30:31.439311
43,1.4407899,6.605187654495239,2024-03-07 22:30:38.044922
44,1.4407899,6.59390926361084,2024-03-07 22:30:44.639257
45,1.4407899,6.557757377624512,2024-03-07 22:30:51.197443
46,1.4407899,6.544806003570557,2024-03-07 22:30:57.742812
47,1.4407899,6.4744603633880615,2024-03-07 22:31:04.217922
48,1.4407899,6.477883815765381,2024-03-07 22:31:10.696252
49,1.4407899,6.665423154830933,2024-03-07 22:31:17.362338
50,1.4407899,6.483532667160034,2024-03-07 22:31:23.846333
51,1.4407899,6.493194341659546,2024-03-07 22:31:30.339937
52,1.4407899,6.515404939651489,2024-03-07 22:31:36.855767
53,1.4407899,6.545395851135254,2024-03-07 22:31:43.401592
54,1.4407899,6.592159986495972,2024-03-07 22:31:49.994423
55,1.4407899,6.598210334777832,2024-03-07 22:31:56.593128
56,1.4407899,6.513068675994873,2024-03-07 22:32:03.106612
57,1.4407899,6.49972939491272,2024-03-07 22:32:09.606760
58,1.4407899,6.463323593139648,2024-03-07 22:32:16.070538
59,1.4407899,6.516709089279175,2024-03-07 22:32:22.587717
60,1.4407899,6.583386659622192,2024-03-07 22:32:29.171522
61,1.4407899,6.431003570556641,2024-03-07 22:32:35.602947
62,1.4407899,6.644444704055786,2024-03-07 22:32:42.247805
63,1.4407899,6.610062837600708,2024-03-07 22:32:48.858281
64,1.4407899,6.52679705619812,2024-03-07 22:32:55.385521
65,1.4407899,6.467754364013672,2024-03-07 22:33:01.853867
66,1.4407899,6.690843343734741,2024-03-07 22:33:08.545211
67,1.4407899,6.415404796600342,2024-03-07 22:33:14.961097
68,1.4407899,6.598732948303223,2024-03-07 22:33:21.560547
69,1.4407899,6.530001163482666,2024-03-07 22:33:28.091051
70,1.4407899,6.525811433792114,2024-03-07 22:33:34.617302
71,1.4407899,6.617441892623901,2024-03-07 22:33:41.235375
72,1.4407899,6.6069252490997314,2024-03-07 22:33:47.842730
73,1.4407899,6.525371074676514,2024-03-07 22:33:54.368564
74,1.4407899,6.485268831253052,2024-03-07 22:34:00.854262
75,1.4407899,6.491840124130249,2024-03-07 22:34:07.346626
76,1.4407899,6.666234016418457,2024-03-07 22:34:14.013326
77,1.4407899,6.540989398956299,2024-03-07 22:34:20.554747
78,1.4407899,6.558449983596802,2024-03-07 22:34:27.113663
79,1.4407899,6.570213317871094,2024-03-07 22:34:33.684405
80,1.4407899,6.569659948348999,2024-03-07 22:34:40.254485
81,1.4407899,6.514628887176514,2024-03-07 22:34:46.769602
82,1.4407899,6.425421953201294,2024-03-07 22:34:53.195534
83,1.4407899,6.496511936187744,2024-03-07 22:34:59.692481
84,1.4407899,6.513638019561768,2024-03-07 22:35:06.206547
85,1.4407899,6.519363164901733,2024-03-07 22:35:12.726382
86,1.4407899,6.527715444564819,2024-03-07 22:35:19.254558
87,1.4407899,6.596215486526489,2024-03-07 22:35:25.851187
88,1.4407899,6.488821983337402,2024-03-07 22:35:32.340463
89,1.4474547,6.485445261001587,2024-03-07 22:35:38.826442
90,1.4474547,6.567660331726074,2024-03-07 22:35:45.394521
91,1.4474547,6.518182992935181,2024-03-07 22:35:51.913355
92,1.4474547,6.734015464782715,2024-03-07 22:35:58.647902
93,1.4474547,6.526405572891235,2024-03-07 22:36:05.174727
94,1.4474547,6.496466875076294,2024-03-07 22:36:11.671662
