iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time
1,0.46524024,-5.861717,-0.56468564,-5.3031297,5.9570312,3.0273438,4.7851562,9.893614530563354,2024-03-31 03:34:44.364393
2,0.99901456,-4.5115514,0.5150565,-6.179118,8.0078125,3.125,6.4453125,6.482011318206787,2024-03-31 03:34:50.846746
3,0.99901456,-2.8594704,0.77362776,-6.8530636,9.277344,3.2226562,8.3984375,6.63094162940979,2024-03-31 03:34:57.478032
4,0.99901456,-1.4786713,1.5311095,-5.723523,10.546875,3.3203125,9.472656,6.482229232788086,2024-03-31 03:35:03.960688
5,0.99901456,0.8164716,2.65433,-7.39283,11.5234375,3.4179688,11.425781,6.466094970703125,2024-03-31 03:35:10.427252
6,0.99901456,3.305871,3.2793274,-5.457758,12.3046875,3.4179688,12.6953125,6.545552968978882,2024-03-31 03:35:16.973140
7,0.99901456,5.359484,3.1994693,-2.0856135,12.597656,3.6132812,13.769531,6.467242479324341,2024-03-31 03:35:23.440758
8,0.99901456,6.021798,3.2615669,1.5966929,13.0859375,3.6132812,14.160156,6.503577709197998,2024-03-31 03:35:29.944707
9,0.99901456,6.585642,5.066393,3.2870092,13.378906,3.8085938,15.4296875,6.574915885925293,2024-03-31 03:35:36.520134
10,0.99901456,6.8215313,5.18624,3.505114,13.769531,4.0039062,16.601562,6.489337205886841,2024-03-31 03:35:43.009805
11,0.99901456,9.000976,5.5323634,6.893076,14.0625,4.0039062,17.382812,6.449944972991943,2024-03-31 03:35:49.460245
12,1.4869293,10.820685,6.1717434,9.322723,14.2578125,4.0039062,18.066406,6.502213001251221,2024-03-31 03:35:55.962949
13,1.4869293,10.378515,6.4858336,9.098911,14.550781,4.0039062,18.75,6.400618076324463,2024-03-31 03:36:02.364023
14,1.4869293,11.60099,6.1946483,11.14715,14.941406,4.1992188,19.140625,6.487019062042236,2024-03-31 03:36:08.851379
15,1.4869293,12.802822,6.2474756,13.401213,15.234375,4.1992188,19.628906,6.514305830001831,2024-03-31 03:36:15.366043
16,1.4869293,13.982176,4.6587424,15.163268,15.4296875,4.3945312,20.3125,6.472885370254517,2024-03-31 03:36:21.839410
17,1.4869293,14.053032,4.9773035,16.449295,15.8203125,4.3945312,20.507812,6.537150859832764,2024-03-31 03:36:28.377079
18,1.4869293,14.412832,5.176872,19.056559,16.210938,4.3945312,20.703125,6.49889063835144,2024-03-31 03:36:34.876341
19,1.4869293,13.298739,5.669369,20.34973,16.503906,4.4921875,20.996094,6.521866321563721,2024-03-31 03:36:41.398606
20,1.4869293,14.3203945,5.7197294,22.052494,16.796875,4.4921875,21.289062,6.444863557815552,2024-03-31 03:36:47.843833
21,1.4869293,15.106962,5.820985,24.513523,17.089844,4.4921875,21.484375,6.4985644817352295,2024-03-31 03:36:54.342741
22,1.4869293,16.278,6.0178204,26.312742,17.089844,4.4921875,21.875,6.639240026473999,2024-03-31 03:37:00.982317
23,1.4869293,17.993536,6.0178204,29.772665,17.1875,4.4921875,22.265625,6.6707704067230225,2024-03-31 03:37:07.653616
24,1.582115,21.380894,7.5321116,34.744217,17.382812,4.4921875,22.753906,6.465637445449829,2024-03-31 03:37:14.119625
25,1.582115,21.951471,7.702405,35.867294,17.480469,4.4921875,23.339844,6.5436248779296875,2024-03-31 03:37:20.663590
26,1.582115,21.208502,8.036346,35.457756,17.675781,4.5898438,23.632812,6.492088317871094,2024-03-31 03:37:27.156017
27,1.582115,22.184387,8.479118,37.509518,17.773438,4.7851562,23.828125,6.53863787651062,2024-03-31 03:37:33.694993
28,1.582115,22.672459,8.479118,39.012222,17.773438,4.7851562,24.121094,6.45581579208374,2024-03-31 03:37:40.151177
29,1.582115,24.086906,9.591802,41.067993,17.871094,4.8828125,24.414062,6.486643314361572,2024-03-31 03:37:46.638294
30,1.582115,24.13776,9.734893,42.358444,17.871094,5.1757812,24.902344,6.482914924621582,2024-03-31 03:37:53.121589
31,1.582115,27.038902,10.259135,45.485252,17.96875,5.1757812,25.0,6.461620330810547,2024-03-31 03:37:59.583599
32,1.582115,27.526264,10.282507,46.243874,18.066406,5.1757812,25.390625,6.5078911781311035,2024-03-31 03:38:06.091828
33,1.582115,27.690678,10.464367,46.878635,18.066406,5.1757812,25.683594,6.587064266204834,2024-03-31 03:38:12.679322
34,1.582115,28.200907,10.464367,48.146202,18.066406,5.1757812,25.78125,6.581453561782837,2024-03-31 03:38:19.261116
35,1.582115,29.342813,10.611325,49.40983,18.066406,5.1757812,26.074219,6.539957284927368,2024-03-31 03:38:25.801569
36,1.582115,29.591316,10.623667,50.221252,18.066406,5.1757812,26.757812,6.523203611373901,2024-03-31 03:38:32.325195
37,1.582115,29.907082,10.862816,52.55077,18.066406,5.1757812,26.757812,6.534753322601318,2024-03-31 03:38:38.860535
38,1.582115,30.161976,10.874079,53.55508,18.066406,5.1757812,26.757812,6.517564296722412,2024-03-31 03:38:45.378481
39,1.582115,30.878971,11.146763,55.627235,18.164062,5.1757812,27.050781,6.479114770889282,2024-03-31 03:38:51.857937
40,1.582115,31.234713,12.460057,56.912537,18.164062,5.1757812,27.148438,6.513612747192383,2024-03-31 03:38:58.372106
41,1.582115,32.63172,12.199339,59.325066,18.261719,5.2734375,27.34375,6.465260982513428,2024-03-31 03:39:04.837721
