max_fitness,seed,task,sampling,repertoire,coverage1,coverage2,coverage3
5.53199,0,BridgeWalker-v0,ga,all,,,
3.861481,0,BridgeWalker-v0,all,g1,4.8828125,3.0273438,1.5625
3.871253,0,BridgeWalker-v0,all,g2,2.0507812,4.8828125,1.6601562
3.6851861,0,BridgeWalker-v0,all,g3,1.3671875,2.0507812,1.3671875
3.6896224,0,BridgeWalker-v0,s1,g1,4.8828125,1.3671875,0.9765625
4.0280747,0,BridgeWalker-v0,s1,g2,3.515625,4.8828125,1.3671875
3.7558327,0,BridgeWalker-v0,s1,g3,3.2226562,1.3671875,1.2695312
4.4112563,0,BridgeWalker-v0,s2,g1,4.8828125,4.4921875,1.953125
3.7007973,0,BridgeWalker-v0,s2,g2,0.48828125,4.8828125,0.9765625
3.7007973,0,BridgeWalker-v0,s2,g3,0.5859375,3.2226562,0.87890625
1.2161486,0,BridgeWalker-v0,s3,g1,2.8320312,2.6367188,1.2695312
1.3658805,0,BridgeWalker-v0,s3,g2,0.29296875,4.8828125,0.78125
1.3658805,0,BridgeWalker-v0,s3,g3,0.29296875,2.1484375,1.3671875
5.4410186,1,BridgeWalker-v0,ga,all,,,
5.1365094,1,BridgeWalker-v0,all,g1,4.8828125,2.734375,2.6367188
5.051502,1,BridgeWalker-v0,all,g2,2.8320312,4.8828125,2.8320312
5.079229,1,BridgeWalker-v0,all,g3,2.4414062,2.2460938,2.2460938
3.0611725,1,BridgeWalker-v0,s1,g1,4.8828125,1.3671875,0.68359375
3.6005404,1,BridgeWalker-v0,s1,g2,4.0039062,4.8828125,1.4648438
3.0611725,1,BridgeWalker-v0,s1,g3,3.3203125,0.9765625,0.68359375
3.6692653,1,BridgeWalker-v0,s2,g1,4.8828125,4.5898438,1.3671875
3.6947002,1,BridgeWalker-v0,s2,g2,0.9765625,4.8828125,0.78125
3.6665034,1,BridgeWalker-v0,s2,g3,0.5859375,2.734375,0.68359375
1.1004714,1,BridgeWalker-v0,s3,g1,3.2226562,2.734375,1.3671875
1.3655735,1,BridgeWalker-v0,s3,g2,0.29296875,4.8828125,0.5859375
1.1004714,1,BridgeWalker-v0,s3,g3,0.390625,2.734375,1.5625
4.7029285,2,BridgeWalker-v0,ga,all,,,
5.590602,2,BridgeWalker-v0,all,g1,4.8828125,1.953125,1.4648438
6.651487,2,BridgeWalker-v0,all,g2,1.3671875,4.8828125,1.3671875
6.641343,2,BridgeWalker-v0,all,g3,1.3671875,1.171875,1.3671875
6.2058077,2,BridgeWalker-v0,s1,g1,4.8828125,2.0507812,1.2695312
6.214598,2,BridgeWalker-v0,s1,g2,3.515625,4.8828125,1.5625
6.214598,2,BridgeWalker-v0,s1,g3,3.3203125,2.34375,1.5625
2.9878829,2,BridgeWalker-v0,s2,g1,4.8828125,3.90625,1.5625
3.5753884,2,BridgeWalker-v0,s2,g2,0.48828125,4.8828125,0.87890625
3.888206,2,BridgeWalker-v0,s2,g3,0.68359375,2.8320312,1.171875
1.3111615,2,BridgeWalker-v0,s3,g1,2.8320312,2.2460938,1.5625
1.2527759,2,BridgeWalker-v0,s3,g2,0.29296875,4.8828125,0.9765625
0.95569396,2,BridgeWalker-v0,s3,g3,0.1953125,2.4414062,1.2695312
3.7792728,3,BridgeWalker-v0,ga,all,,,
6.486916,3,BridgeWalker-v0,all,g1,4.8828125,2.6367188,1.8554688
6.4598837,3,BridgeWalker-v0,all,g2,3.0273438,4.8828125,2.2460938
6.4846706,3,BridgeWalker-v0,all,g3,2.5390625,2.5390625,1.8554688
4.4232435,3,BridgeWalker-v0,s1,g1,4.8828125,1.7578125,0.87890625
4.224356,3,BridgeWalker-v0,s1,g2,3.515625,4.8828125,0.87890625
4.5786333,3,BridgeWalker-v0,s1,g3,2.34375,2.34375,0.87890625
3.826699,3,BridgeWalker-v0,s2,g1,4.8828125,4.1015625,0.78125
3.5443382,3,BridgeWalker-v0,s2,g2,0.78125,4.8828125,0.68359375
3.8994389,3,BridgeWalker-v0,s2,g3,0.9765625,3.0273438,0.87890625
1.3956518,3,BridgeWalker-v0,s3,g1,3.8085938,3.4179688,1.3671875
1.4148993,3,BridgeWalker-v0,s3,g2,0.48828125,4.8828125,0.9765625
1.4148993,3,BridgeWalker-v0,s3,g3,0.29296875,1.7578125,0.9765625
2.2668843,4,BridgeWalker-v0,ga,all,,,
3.7426856,4,BridgeWalker-v0,all,g1,4.8828125,3.125,2.5390625
3.7426856,4,BridgeWalker-v0,all,g2,0.87890625,4.8828125,2.0507812
4.29272,4,BridgeWalker-v0,all,g3,0.9765625,1.2695312,1.5625
3.7783117,4,BridgeWalker-v0,s1,g1,4.8828125,2.1484375,2.1484375
4.006415,4,BridgeWalker-v0,s1,g2,3.515625,4.8828125,2.34375
3.7783117,4,BridgeWalker-v0,s1,g3,2.4414062,1.8554688,2.1484375
3.8430374,4,BridgeWalker-v0,s2,g1,4.8828125,4.3945312,1.5625
