sampler,seed,environment,brain_descriptors_0,brain_descriptors_1,body_descriptors_0,body_descriptors_1,behavior_descriptors_0,behavior_descriptors_1
3b,0,BridgeWalker-v0,-1.0,-1.0,0.5,0.39447852969169617,-1.0,-1.0
3b,0,PlatformJumper-v0,-1.0,-1.0,0.6000000238418579,0.125,0.17004048824310303,0.7139959335327148
3b,0,CaveCrawler-v0,0.8951864838600159,0.4907158613204956,0.30000001192092896,0.5970114469528198,-1.0,-1.0
3b,0,CustomCarrier-v0,0.7344413995742798,0.4683941900730133,-1.0,-1.0,-1.0,-1.0
3b,0,BidirectionalWalker-v0,-1.0,-1.0,-1.0,-1.0,0.3947368562221527,0.7687224745750427
3b,0,CustomPusher-v0,0.7918210029602051,0.807976245880127,0.550000011920929,0.4372412860393524,-1.0,-1.0
3b,0,BeamToppler-v0,-1.0,-1.0,-1.0,-1.0,0.39840638637542725,0.8299999833106995
3b,0,Pusher-v1,0.7293183207511902,0.5320426821708679,-1.0,-1.0,-1.0,-1.0
3b,0,Catcher-v0,-1.0,-1.0,-1.0,-1.0,0.31075698137283325,0.828000009059906
3b,0,UpStepper-v0,0.7761344313621521,0.5427855849266052,0.5,0.47656014561653137,-1.0,-1.0
3b,0,DownStepper-v0,-1.0,-1.0,0.20000000298023224,0.48248785734176636,-1.0,-1.0
3b,0,ObstacleTraverser-v0,-1.0,-1.0,0.3499999940395355,0.5206623673439026,0.4063745141029358,0.578000009059906
3b,0,ObstacleTraverser-v1,0.81283038854599,0.8696874380111694,-1.0,-1.0,0.12749004364013672,0.7979999780654907
3b,0,Hurdler-v0,0.81283038854599,0.8696874380111694,-1.0,-1.0,0.12749004364013672,0.7979999780654907
3b,0,GapJumper-v0,-1.0,-1.0,0.6000000238418579,0.25,0.16733068227767944,0.6439999938011169
3b,0,Traverser-v0,0.7918210029602051,0.807976245880127,0.550000011920929,0.4372412860393524,-1.0,-1.0
3b,0,Flipper-v0,0.5728470087051392,0.5722396969795227,0.6499999761581421,0.125,0.14457830786705017,0.7177419066429138
3b,0,Jumper-v0,0.9780929088592529,0.5634608268737793,-1.0,-1.0,-1.0,-1.0
3b,0,Balancer-v0,-1.0,-1.0,0.6000000238418579,0.44669970870018005,-1.0,-1.0
3b,0,AreaMaximizer-v0,-1.0,-1.0,-1.0,-1.0,0.12749004364013672,0.9039999842643738
3b,0,AreaMinimizer-v0,0.5728470087051392,0.5722396969795227,0.6499999761581421,0.125,0.14457830786705017,0.7177419066429138
3b,0,WingspanMazimizer-v0,-1.0,-1.0,0.550000011920929,0.3428666591644287,0.3027888536453247,0.8859999775886536
3b,0,HeightMaximizer-v0,-1.0,-1.0,0.6000000238418579,0.25,0.16733068227767944,0.6439999938011169
3b,1,BridgeWalker-v0,0.5197639465332031,0.027793357148766518,-1.0,-1.0,-1.0,-1.0
3b,1,PlatformJumper-v0,0.47433561086654663,0.10484922677278519,0.6499999761581421,0.4514002203941345,-1.0,-1.0
3b,1,CaveCrawler-v0,0.5501757860183716,0.004383340012282133,0.5,0.5897825956344604,-1.0,-1.0
3b,1,CustomCarrier-v0,0.0011056921212002635,0.6820192337036133,0.6000000238418579,0.3193598687648773,0.5338645577430725,0.7979999780654907
3b,1,BidirectionalWalker-v0,0.5722643136978149,0.07863721251487732,0.75,0.21750612556934357,0.19123506546020508,0.48399999737739563
3b,1,CustomPusher-v0,0.02867242507636547,0.665937602519989,-1.0,-1.0,0.39840638637542725,0.9240000247955322
3b,1,BeamToppler-v0,0.0011056921212002635,0.6820192337036133,0.6000000238418579,0.3193598687648773,0.5338645577430725,0.7979999780654907
3b,1,Pusher-v1,0.30068889260292053,0.8000732064247131,0.6499999761581421,0.5268799662590027,-1.0,-1.0
3b,1,Catcher-v0,-1.0,-1.0,0.5,0.5058133006095886,0.10358566045761108,0.6399999856948853
3b,1,UpStepper-v0,0.47433561086654663,0.10484922677278519,0.6499999761581421,0.4514002203941345,-1.0,-1.0
3b,1,DownStepper-v0,-1.0,-1.0,0.5,0.24186821281909943,-1.0,-1.0
3b,1,ObstacleTraverser-v0,0.46231478452682495,0.04100708290934563,0.6000000238418579,0.4514002203941345,0.31075698137283325,0.5260000228881836
3b,1,ObstacleTraverser-v1,0.060450196266174316,0.6709832549095154,-1.0,-1.0,0.350597620010376,0.6320000290870667
3b,1,Hurdler-v0,-1.0,-1.0,0.800000011920929,0.6069568395614624,-1.0,-1.0
