sampler,seed,environment,brain_descriptors_0,brain_descriptors_1,body_descriptors_0,body_descriptors_1,behavior_descriptors_0,behavior_descriptors_1
all,0,BridgeWalker-v0,-1.0,-1.0,0.8500000238418579,0.4598025679588318,0.8500000238418579,0.4598025679588318
all,0,PlatformJumper-v0,-1.0,-1.0,0.949999988079071,0.46486419439315796,0.949999988079071,0.46486419439315796
all,0,CaveCrawler-v0,-1.0,-1.0,0.75,0.4250560402870178,0.75,0.4250560402870178
all,0,CustomCarrier-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,0,BidirectionalWalker-v0,0.10000000149011612,0.2199999988079071,-1.0,-1.0,-1.0,-1.0
all,0,CustomPusher-v0,-1.0,-1.0,0.75,0.3562099039554596,0.75,0.3562099039554596
all,0,BeamToppler-v0,-1.0,-1.0,0.6000000238418579,0.676515519618988,0.6000000238418579,0.676515519618988
all,0,Pusher-v1,0.10000000149011612,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
all,0,Catcher-v0,-1.0,-1.0,0.800000011920929,0.5640421509742737,0.800000011920929,0.5640421509742737
all,0,UpStepper-v0,0.0,0.019999999552965164,0.6000000238418579,0.5630338788032532,0.6000000238418579,0.5630338788032532
all,0,DownStepper-v0,-1.0,-1.0,0.6499999761581421,0.31350353360176086,0.6499999761581421,0.31350353360176086
all,0,ObstacleTraverser-v0,-1.0,-1.0,0.6000000238418579,0.676515519618988,0.6000000238418579,0.676515519618988
all,0,ObstacleTraverser-v1,-1.0,-1.0,0.699999988079071,0.6061590313911438,0.699999988079071,0.6061590313911438
all,0,Hurdler-v0,-1.0,-1.0,0.949999988079071,0.46486419439315796,0.949999988079071,0.46486419439315796
all,0,GapJumper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,0,Traverser-v0,-1.0,-1.0,0.550000011920929,0.5319948792457581,0.550000011920929,0.5319948792457581
all,0,Flipper-v0,-1.0,-1.0,0.699999988079071,0.4250560402870178,0.699999988079071,0.4250560402870178
all,0,Jumper-v0,0.10000000149011612,0.1599999964237213,-1.0,-1.0,-1.0,-1.0
all,0,Balancer-v0,-1.0,-1.0,0.800000011920929,0.4250560402870178,0.800000011920929,0.4250560402870178
all,0,AreaMaximizer-v0,0.05999999865889549,0.0,-1.0,-1.0,-1.0,-1.0
all,0,AreaMinimizer-v0,0.07999999821186066,0.2199999988079071,-1.0,-1.0,-1.0,-1.0
all,0,WingspanMazimizer-v0,0.10000000149011612,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
all,0,HeightMaximizer-v0,0.05999999865889549,0.019999999552965164,-1.0,-1.0,-1.0,-1.0
all,1,BridgeWalker-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,1,PlatformJumper-v0,-1.0,-1.0,0.44999998807907104,0.37063008546829224,0.44999998807907104,0.37063008546829224
all,1,CaveCrawler-v0,-1.0,-1.0,1.0,0.5555555820465088,1.0,0.5555555820465088
all,1,CustomCarrier-v0,0.0,0.03999999910593033,0.6000000238418579,0.538491427898407,0.6000000238418579,0.538491427898407
all,1,BidirectionalWalker-v0,0.18000000715255737,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
all,1,CustomPusher-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,1,BeamToppler-v0,-1.0,-1.0,0.30000001192092896,0.663679301738739,0.30000001192092896,0.663679301738739
all,1,Pusher-v1,0.0,0.1599999964237213,-1.0,-1.0,-1.0,-1.0
all,1,Catcher-v0,0.05999999865889549,0.0,-1.0,-1.0,-1.0,-1.0
all,1,UpStepper-v0,-1.0,-1.0,0.5,0.4310019016265869,0.5,0.4310019016265869
all,1,DownStepper-v0,0.0,0.05999999865889549,-1.0,-1.0,-1.0,-1.0
all,1,ObstacleTraverser-v0,-1.0,-1.0,0.949999988079071,0.5555555820465088,0.949999988079071,0.5555555820465088
all,1,ObstacleTraverser-v1,0.05999999865889549,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
all,1,Hurdler-v0,0.05999999865889549,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
all,1,GapJumper-v0,0.03999999910593033,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
all,1,Traverser-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,1,Flipper-v0,-1.0,-1.0,0.5,0.3332926034927368,0.5,0.3332926034927368
all,1,Jumper-v0,0.10000000149011612,0.019999999552965164,-1.0,-1.0,-1.0,-1.0
all,1,Balancer-v0,0.10000000149011612,0.10000000149011612,-1.0,-1.0,-1.0,-1.0
all,1,AreaMaximizer-v0,0.019999999552965164,0.20000000298023224,-1.0,-1.0,-1.0,-1.0
all,1,AreaMinimizer-v0,0.03999999910593033,0.2199999988079071,-1.0,-1.0,-1.0,-1.0
all,1,WingspanMazimizer-v0,-1.0,-1.0,0.8999999761581421,0.5555555820465088,0.8999999761581421,0.5555555820465088
all,1,HeightMaximizer-v0,0.05999999865889549,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
all,2,BridgeWalker-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,PlatformJumper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,CaveCrawler-v0,-1.0,-1.0,0.4000000059604645,0.5511452555656433,0.4000000059604645,0.5511452555656433
all,2,CustomCarrier-v0,0.019999999552965164,0.05999999865889549,-1.0,-1.0,-1.0,-1.0
all,2,BidirectionalWalker-v0,0.10000000149011612,0.10000000149011612,-1.0,-1.0,-1.0,-1.0
all,2,CustomPusher-v0,0.0,0.03999999910593033,0.8999999761581421,0.4791506230831146,0.8999999761581421,0.4791506230831146
all,2,BeamToppler-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,Pusher-v1,0.1599999964237213,0.11999999731779099,-1.0,-1.0,-1.0,-1.0
all,2,Catcher-v0,0.03999999910593033,0.05999999865889549,-1.0,-1.0,-1.0,-1.0
all,2,UpStepper-v0,-1.0,-1.0,0.949999988079071,0.422516793012619,0.949999988079071,0.422516793012619
all,2,DownStepper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,ObstacleTraverser-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,ObstacleTraverser-v1,-1.0,-1.0,0.949999988079071,0.422516793012619,0.949999988079071,0.422516793012619
all,2,Hurdler-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,GapJumper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,Traverser-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,Flipper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,Jumper-v0,0.10000000149011612,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
all,2,Balancer-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,AreaMaximizer-v0,0.03999999910593033,0.14000000059604645,-1.0,-1.0,-1.0,-1.0
all,2,AreaMinimizer-v0,0.019999999552965164,0.18000000715255737,-1.0,-1.0,-1.0,-1.0
all,2,WingspanMazimizer-v0,0.019999999552965164,0.18000000715255737,-1.0,-1.0,-1.0,-1.0
