iteration,max_fitness,time,current_time
1,0.44709313,8.10120940208435,2024-08-10 11:14:49.297445
2,0.58171785,7.4160826206207275,2024-08-10 11:14:56.714031
3,0.58171785,7.406214237213135,2024-08-10 11:15:04.120736
4,0.58171785,7.327590227127075,2024-08-10 11:15:11.448831
5,0.58171785,7.332479000091553,2024-08-10 11:15:18.781805
6,1.8909904,7.4694037437438965,2024-08-10 11:15:26.251816
7,1.8909904,7.452862501144409,2024-08-10 11:15:33.705205
8,1.8909904,7.335475206375122,2024-08-10 11:15:41.041179
9,1.8909904,7.404879808425903,2024-08-10 11:15:48.446561
10,1.8909904,7.529980421066284,2024-08-10 11:15:55.977215
11,1.8909904,7.604065895080566,2024-08-10 11:16:03.581866
12,1.8909904,7.6100969314575195,2024-08-10 11:16:11.192459
13,2.5351415,7.453726053237915,2024-08-10 11:16:18.646691
14,2.5351415,7.559339761734009,2024-08-10 11:16:26.206550
15,2.5351415,7.537750720977783,2024-08-10 11:16:33.745243
16,2.5351415,7.721974611282349,2024-08-10 11:16:41.467709
17,2.5351415,7.45259165763855,2024-08-10 11:16:48.920831
18,2.5351415,7.22831392288208,2024-08-10 11:16:56.149610
19,2.5351415,7.508252382278442,2024-08-10 11:17:03.658476
20,2.5351415,7.486064195632935,2024-08-10 11:17:11.145174
21,2.5351415,7.624752998352051,2024-08-10 11:17:18.770416
22,2.5351415,7.698148012161255,2024-08-10 11:17:26.469218
23,2.5351415,7.650918483734131,2024-08-10 11:17:34.120765
24,2.5351415,7.735867977142334,2024-08-10 11:17:41.857173
25,2.5351415,7.727102994918823,2024-08-10 11:17:49.584763
26,2.5351415,7.652430057525635,2024-08-10 11:17:57.237660
27,2.5351415,7.811133623123169,2024-08-10 11:18:05.049292
28,2.5351415,7.775864124298096,2024-08-10 11:18:12.825648
29,2.5351415,7.567599534988403,2024-08-10 11:18:20.393741
30,2.5351415,7.975084066390991,2024-08-10 11:18:28.369321
31,2.5351415,7.814443349838257,2024-08-10 11:18:36.184258
32,2.5351415,7.660166501998901,2024-08-10 11:18:43.844947
33,2.5351415,7.573420763015747,2024-08-10 11:18:51.418872
34,2.5351415,7.538938999176025,2024-08-10 11:18:58.958354
35,2.5351415,7.613761901855469,2024-08-10 11:19:06.572704
36,2.5351415,7.491558790206909,2024-08-10 11:19:14.064735
37,2.861152,7.85761022567749,2024-08-10 11:19:21.922831
38,2.861152,7.573806285858154,2024-08-10 11:19:29.497280
39,2.861152,7.571563959121704,2024-08-10 11:19:37.069349
40,3.0570517,7.9038002490997314,2024-08-10 11:19:44.973733
41,3.0570517,7.851995229721069,2024-08-10 11:19:52.826206
42,3.0570517,7.736966609954834,2024-08-10 11:20:00.563685
43,3.1500602,7.694066286087036,2024-08-10 11:20:08.258345
44,3.267364,7.6422271728515625,2024-08-10 11:20:15.901056
45,3.267364,7.619299650192261,2024-08-10 11:20:23.520859
46,3.267364,7.720658779144287,2024-08-10 11:20:31.242008
47,3.267364,7.692529916763306,2024-08-10 11:20:38.935024
48,3.267364,7.742059230804443,2024-08-10 11:20:46.677623
49,3.267364,7.757771015167236,2024-08-10 11:20:54.435892
50,3.267364,7.492469310760498,2024-08-10 11:21:01.928919
51,3.267364,7.602901458740234,2024-08-10 11:21:09.532327
52,3.267364,7.720640182495117,2024-08-10 11:21:17.253466
53,3.267364,7.6085546016693115,2024-08-10 11:21:24.862500
54,3.267364,7.652996063232422,2024-08-10 11:21:32.516065
55,3.6163206,7.723513126373291,2024-08-10 11:21:40.240127
56,3.6163206,7.668860673904419,2024-08-10 11:21:47.909558
57,3.6163206,7.695256948471069,2024-08-10 11:21:55.605413
58,4.1245294,7.863621711730957,2024-08-10 11:22:03.469511
59,4.8324223,7.562248229980469,2024-08-10 11:22:11.032249
60,4.8324223,7.553223371505737,2024-08-10 11:22:18.585958
61,4.8324223,7.689342498779297,2024-08-10 11:22:26.275852
62,4.8324223,7.361264944076538,2024-08-10 11:22:33.637658
63,4.8324223,7.741540908813477,2024-08-10 11:22:41.379759
64,4.8324223,7.64804482460022,2024-08-10 11:22:49.028318
65,4.8324223,7.60175085067749,2024-08-10 11:22:56.630645
66,4.8324223,7.559682130813599,2024-08-10 11:23:04.190823
67,4.8324223,7.628604888916016,2024-08-10 11:23:11.820043
68,4.8324223,7.759850025177002,2024-08-10 11:23:19.580468
69,4.8324223,7.604234218597412,2024-08-10 11:23:27.185198
70,5.285859,7.475678205490112,2024-08-10 11:23:34.661367
71,5.285859,7.656483888626099,2024-08-10 11:23:42.318371
72,5.285859,7.846473932266235,2024-08-10 11:23:50.165431
73,5.285859,7.600358486175537,2024-08-10 11:23:57.766295
74,5.285859,7.521950006484985,2024-08-10 11:24:05.288733
75,5.285859,8.00360369682312,2024-08-10 11:24:13.292832
76,5.285859,7.540040969848633,2024-08-10 11:24:20.833341
77,5.285859,7.886673927307129,2024-08-10 11:24:28.720514
78,5.285859,7.658644199371338,2024-08-10 11:24:36.379691
79,5.285859,7.780126333236694,2024-08-10 11:24:44.160414
80,5.285859,7.735980272293091,2024-08-10 11:24:51.896897
81,5.285859,7.766870498657227,2024-08-10 11:24:59.664270
82,5.285859,7.7598724365234375,2024-08-10 11:25:07.424659
83,5.285859,7.829289436340332,2024-08-10 11:25:15.254426
84,5.285859,7.753380537033081,2024-08-10 11:25:23.008300
85,5.285859,7.595213174819946,2024-08-10 11:25:30.604053
86,5.285859,7.965625762939453,2024-08-10 11:25:38.570236
87,5.285859,7.855804204940796,2024-08-10 11:25:46.426541
88,5.285859,7.830119371414185,2024-08-10 11:25:54.257206
89,5.285859,7.562851190567017,2024-08-10 11:26:01.820555
90,5.285859,7.702471017837524,2024-08-10 11:26:09.523512
91,5.285859,7.866761684417725,2024-08-10 11:26:17.390825
92,5.285859,7.555419921875,2024-08-10 11:26:24.946756
93,5.285859,7.58594012260437,2024-08-10 11:26:32.533207
94,5.285859,7.722910404205322,2024-08-10 11:26:40.256611
95,5.285859,7.62009334564209,2024-08-10 11:26:47.877213
96,5.285859,7.74550724029541,2024-08-10 11:26:55.623220
97,5.285859,7.649282217025757,2024-08-10 11:27:03.273104
98,5.285859,7.610382080078125,2024-08-10 11:27:10.883976
99,5.285859,7.834850072860718,2024-08-10 11:27:18.719378
100,5.285859,7.763786554336548,2024-08-10 11:27:26.483680
101,5.285859,7.530473947525024,2024-08-10 11:27:34.014690
102,5.285859,7.688836097717285,2024-08-10 11:27:41.704060
103,5.619244,7.619410037994385,2024-08-10 11:27:49.324025
104,5.619244,7.778118133544922,2024-08-10 11:27:57.102747
105,5.619244,7.7113611698150635,2024-08-10 11:28:04.814705
106,5.619244,7.563652276992798,2024-08-10 11:28:12.379079
107,5.619244,7.7082390785217285,2024-08-10 11:28:20.087924
108,5.619244,7.531198263168335,2024-08-10 11:28:27.619668
109,5.619244,7.6518847942352295,2024-08-10 11:28:35.272097
110,5.619244,7.7345051765441895,2024-08-10 11:28:43.007082
111,5.619244,7.625891923904419,2024-08-10 11:28:50.633537
112,5.619244,7.649344444274902,2024-08-10 11:28:58.283425
113,5.619244,7.730524778366089,2024-08-10 11:29:06.014494
114,6.2651353,7.564240455627441,2024-08-10 11:29:13.579240
115,6.2651353,7.680887937545776,2024-08-10 11:29:21.260701
116,6.2651353,7.858474016189575,2024-08-10 11:29:29.119667
117,6.2651353,7.805703401565552,2024-08-10 11:29:36.925915
118,6.2651353,7.54252290725708,2024-08-10 11:29:44.468927
119,6.2651353,7.82416033744812,2024-08-10 11:29:52.293595
120,6.2651353,7.697916746139526,2024-08-10 11:29:59.992014
121,6.2651353,7.577110052108765,2024-08-10 11:30:07.569820
122,6.2651353,7.541642189025879,2024-08-10 11:30:15.111959
123,6.2651353,7.823140382766724,2024-08-10 11:30:22.935591
124,6.2651353,7.691446304321289,2024-08-10 11:30:30.627576
125,6.2651353,7.535283088684082,2024-08-10 11:30:38.163399
126,6.2651353,7.777418613433838,2024-08-10 11:30:45.941408
127,6.2651353,7.846784353256226,2024-08-10 11:30:53.788680
128,6.2651353,7.8600664138793945,2024-08-10 11:31:01.649250
129,6.2651353,7.6899733543396,2024-08-10 11:31:09.339800
130,6.2651353,7.714696168899536,2024-08-10 11:31:17.055039
131,6.2651353,7.695385932922363,2024-08-10 11:31:24.750962
132,6.2651353,7.753967761993408,2024-08-10 11:31:32.505520
