sampler,seed,environment,brain_descriptors_0,brain_descriptors_1,body_descriptors_0,body_descriptors_1,behavior_descriptors_0,behavior_descriptors_1
all,0,BridgeWalker-v0,-1.0,-1.0,0.5,0.39447852969169617,0.5,0.39447852969169617
all,0,PlatformJumper-v0,-1.0,-1.0,0.6000000238418579,0.125,0.6000000238418579,0.125
all,0,CaveCrawler-v0,0.8951864838600159,0.4907158613204956,0.30000001192092896,0.5970114469528198,0.30000001192092896,0.5970114469528198
all,0,CustomCarrier-v0,0.7344413995742798,0.4683941900730133,-1.0,-1.0,-1.0,-1.0
all,0,BidirectionalWalker-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,0,CustomPusher-v0,0.7918210029602051,0.807976245880127,0.550000011920929,0.4372412860393524,0.550000011920929,0.4372412860393524
all,0,BeamToppler-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,0,Pusher-v1,0.7293183207511902,0.5320426821708679,-1.0,-1.0,-1.0,-1.0
all,0,Catcher-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,0,UpStepper-v0,0.7761344313621521,0.5427855849266052,0.5,0.47656014561653137,0.5,0.47656014561653137
all,0,DownStepper-v0,-1.0,-1.0,0.20000000298023224,0.48248785734176636,0.20000000298023224,0.48248785734176636
all,0,ObstacleTraverser-v0,-1.0,-1.0,0.3499999940395355,0.5206623673439026,0.3499999940395355,0.5206623673439026
all,0,ObstacleTraverser-v1,0.81283038854599,0.8696874380111694,-1.0,-1.0,-1.0,-1.0
all,0,Hurdler-v0,0.81283038854599,0.8696874380111694,-1.0,-1.0,-1.0,-1.0
all,0,GapJumper-v0,-1.0,-1.0,0.6000000238418579,0.25,0.6000000238418579,0.25
all,0,Traverser-v0,0.7918210029602051,0.807976245880127,0.550000011920929,0.4372412860393524,0.550000011920929,0.4372412860393524
all,0,Flipper-v0,0.5728470087051392,0.5722396969795227,0.6499999761581421,0.125,0.6499999761581421,0.125
all,0,Jumper-v0,0.9780929088592529,0.5634608268737793,-1.0,-1.0,-1.0,-1.0
all,0,Balancer-v0,-1.0,-1.0,0.6000000238418579,0.44669970870018005,0.6000000238418579,0.44669970870018005
all,0,AreaMaximizer-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,0,AreaMinimizer-v0,0.5728470087051392,0.5722396969795227,0.6499999761581421,0.125,0.6499999761581421,0.125
all,0,WingspanMazimizer-v0,-1.0,-1.0,0.550000011920929,0.3428666591644287,0.550000011920929,0.3428666591644287
all,0,HeightMaximizer-v0,-1.0,-1.0,0.6000000238418579,0.25,0.6000000238418579,0.25
all,1,BridgeWalker-v0,0.5197639465332031,0.027793357148766518,-1.0,-1.0,-1.0,-1.0
all,1,PlatformJumper-v0,0.47433561086654663,0.10484922677278519,0.6499999761581421,0.4514002203941345,0.6499999761581421,0.4514002203941345
all,1,CaveCrawler-v0,0.5501757860183716,0.004383340012282133,0.5,0.5897825956344604,0.5,0.5897825956344604
all,1,CustomCarrier-v0,0.0011056921212002635,0.6820192337036133,0.6000000238418579,0.3193598687648773,0.6000000238418579,0.3193598687648773
all,1,BidirectionalWalker-v0,0.5722643136978149,0.07863721251487732,0.75,0.21750612556934357,0.75,0.21750612556934357
all,1,CustomPusher-v0,0.02867242507636547,0.665937602519989,-1.0,-1.0,-1.0,-1.0
all,1,BeamToppler-v0,0.0011056921212002635,0.6820192337036133,0.6000000238418579,0.3193598687648773,0.6000000238418579,0.3193598687648773
all,1,Pusher-v1,0.30068889260292053,0.8000732064247131,0.6499999761581421,0.5268799662590027,0.6499999761581421,0.5268799662590027
all,1,Catcher-v0,-1.0,-1.0,0.5,0.5058133006095886,0.5,0.5058133006095886
all,1,UpStepper-v0,0.47433561086654663,0.10484922677278519,0.6499999761581421,0.4514002203941345,0.6499999761581421,0.4514002203941345
all,1,DownStepper-v0,-1.0,-1.0,0.5,0.24186821281909943,0.5,0.24186821281909943
all,1,ObstacleTraverser-v0,0.46231478452682495,0.04100708290934563,0.6000000238418579,0.4514002203941345,0.6000000238418579,0.4514002203941345
all,1,ObstacleTraverser-v1,0.060450196266174316,0.6709832549095154,-1.0,-1.0,-1.0,-1.0
all,1,Hurdler-v0,-1.0,-1.0,0.800000011920929,0.6069568395614624,0.800000011920929,0.6069568395614624
all,1,GapJumper-v0,0.4934649169445038,0.0443788506090641,-1.0,-1.0,-1.0,-1.0
all,1,Traverser-v0,0.6199826002120972,0.019756998866796494,0.6499999761581421,0.25,0.6499999761581421,0.25
all,1,Flipper-v0,-1.0,-1.0,0.5,0.24186821281909943,0.5,0.24186821281909943
all,1,Jumper-v0,0.0,0.7959675192832947,0.4000000059604645,0.6000000238418579,0.4000000059604645,0.6000000238418579
all,1,Balancer-v0,0.5023484826087952,0.22122587263584137,-1.0,-1.0,-1.0,-1.0
all,1,AreaMaximizer-v0,-1.0,-1.0,0.800000011920929,0.21750612556934357,0.800000011920929,0.21750612556934357
all,1,AreaMinimizer-v0,0.0792953222990036,0.6490355730056763,-1.0,-1.0,-1.0,-1.0
all,1,WingspanMazimizer-v0,0.3463365435600281,0.867689311504364,0.699999988079071,0.4348733127117157,0.699999988079071,0.4348733127117157
all,1,HeightMaximizer-v0,0.5742571353912354,0.06571780890226364,-1.0,-1.0,-1.0,-1.0
all,2,BridgeWalker-v0,-1.0,-1.0,0.6000000238418579,0.4285714328289032,0.6000000238418579,0.4285714328289032
all,2,PlatformJumper-v0,0.5729045867919922,0.7544856667518616,-1.0,-1.0,-1.0,-1.0
all,2,CaveCrawler-v0,-1.0,-1.0,0.699999988079071,0.6000000238418579,0.699999988079071,0.6000000238418579
all,2,CustomCarrier-v0,0.433366060256958,0.42976048588752747,-1.0,-1.0,-1.0,-1.0
all,2,BidirectionalWalker-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,CustomPusher-v0,0.433366060256958,0.42976048588752747,-1.0,-1.0,-1.0,-1.0
all,2,BeamToppler-v0,-1.0,-1.0,0.699999988079071,0.6000000238418579,0.699999988079071,0.6000000238418579
all,2,Pusher-v1,0.5228323936462402,0.7586020827293396,0.30000001192092896,0.12281635403633118,0.30000001192092896,0.12281635403633118
all,2,Catcher-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,UpStepper-v0,0.5228323936462402,0.7586020827293396,0.30000001192092896,0.12281635403633118,0.30000001192092896,0.12281635403633118
all,2,DownStepper-v0,-1.0,-1.0,0.44999998807907104,0.375,0.44999998807907104,0.375
all,2,ObstacleTraverser-v0,0.5729045867919922,0.7544856667518616,-1.0,-1.0,-1.0,-1.0
all,2,ObstacleTraverser-v1,-1.0,-1.0,0.6000000238418579,0.4285714328289032,0.6000000238418579,0.4285714328289032
all,2,Hurdler-v0,0.4679466784000397,0.4094644784927368,-1.0,-1.0,-1.0,-1.0
all,2,GapJumper-v0,0.4679466784000397,0.4094644784927368,-1.0,-1.0,-1.0,-1.0
all,2,Traverser-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,Flipper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,Jumper-v0,0.5228323936462402,0.7586020827293396,0.30000001192092896,0.12281635403633118,0.30000001192092896,0.12281635403633118
all,2,Balancer-v0,0.4169350862503052,0.5758516788482666,-1.0,-1.0,-1.0,-1.0
all,2,AreaMaximizer-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,2,AreaMinimizer-v0,-1.0,-1.0,0.6499999761581421,0.6000000238418579,0.6499999761581421,0.6000000238418579
all,2,WingspanMazimizer-v0,-1.0,-1.0,0.4000000059604645,0.699999988079071,0.4000000059604645,0.699999988079071
all,2,HeightMaximizer-v0,0.5228323936462402,0.7586020827293396,0.30000001192092896,0.12281635403633118,0.30000001192092896,0.12281635403633118
all,3,BridgeWalker-v0,0.5979252457618713,0.3000606596469879,-1.0,-1.0,-1.0,-1.0
all,3,PlatformJumper-v0,-1.0,-1.0,0.75,0.31861692667007446,0.75,0.31861692667007446
all,3,CaveCrawler-v0,0.6163929104804993,0.361194908618927,0.5,0.38322919607162476,0.5,0.38322919607162476
all,3,CustomCarrier-v0,0.518214762210846,0.3484407961368561,0.6499999761581421,0.31861692667007446,0.6499999761581421,0.31861692667007446
all,3,BidirectionalWalker-v0,-1.0,-1.0,0.6499999761581421,0.2785876989364624,0.6499999761581421,0.2785876989364624
all,3,CustomPusher-v0,0.5803127288818359,0.27550724148750305,-1.0,-1.0,-1.0,-1.0
all,3,BeamToppler-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,3,Pusher-v1,0.46515706181526184,0.23103493452072144,0.6000000238418579,0.1428571492433548,0.6000000238418579,0.1428571492433548
all,3,Catcher-v0,0.46515706181526184,0.23103493452072144,0.6000000238418579,0.1428571492433548,0.6000000238418579,0.1428571492433548
all,3,UpStepper-v0,0.5581263303756714,0.0,0.6499999761581421,0.46003320813179016,0.6499999761581421,0.46003320813179016
all,3,DownStepper-v0,-1.0,-1.0,0.75,0.31861692667007446,0.75,0.31861692667007446
all,3,ObstacleTraverser-v0,0.6407194137573242,0.201218843460083,-1.0,-1.0,-1.0,-1.0
all,3,ObstacleTraverser-v1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,3,Hurdler-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,3,GapJumper-v0,0.6066433191299438,0.4019899070262909,-1.0,-1.0,-1.0,-1.0
all,3,Traverser-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,3,Flipper-v0,0.5100717544555664,0.2704066038131714,-1.0,-1.0,-1.0,-1.0
all,3,Jumper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,3,Balancer-v0,-1.0,-1.0,0.75,0.31861692667007446,0.75,0.31861692667007446
all,3,AreaMaximizer-v0,0.6396262645721436,0.39244693517684937,0.550000011920929,0.3428697884082794,0.550000011920929,0.3428697884082794
all,3,AreaMinimizer-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,3,WingspanMazimizer-v0,0.695643424987793,0.4457476735115051,0.75,0.48248785734176636,0.75,0.48248785734176636
all,3,HeightMaximizer-v0,0.807569682598114,0.45308956503868103,-1.0,-1.0,-1.0,-1.0
all,4,BridgeWalker-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,4,PlatformJumper-v0,0.11045302450656891,0.7320435047149658,-1.0,-1.0,-1.0,-1.0
all,4,CaveCrawler-v0,0.10542157292366028,0.7416086196899414,0.44999998807907104,0.5012658834457397,0.44999998807907104,0.5012658834457397
all,4,CustomCarrier-v0,0.13453547656536102,0.7108328342437744,-1.0,-1.0,-1.0,-1.0
all,4,BidirectionalWalker-v0,-1.0,-1.0,0.5,0.24145400524139404,0.5,0.24145400524139404
all,4,CustomPusher-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,4,BeamToppler-v0,0.11045302450656891,0.7320435047149658,-1.0,-1.0,-1.0,-1.0
all,4,Pusher-v1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,4,Catcher-v0,0.13453547656536102,0.7108328342437744,-1.0,-1.0,-1.0,-1.0
all,4,UpStepper-v0,0.6362764239311218,0.34427666664123535,-1.0,-1.0,-1.0,-1.0
all,4,DownStepper-v0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
all,4,ObstacleTraverser-v0,0.6362764239311218,0.34427666664123535,-1.0,-1.0,-1.0,-1.0
all,4,ObstacleTraverser-v1,-1.0,-1.0,0.8999999761581421,0.41111236810684204,0.8999999761581421,0.41111236810684204
all,4,Hurdler-v0,0.8883374929428101,0.5332318544387817,0.550000011920929,0.1428571492433548,0.550000011920929,0.1428571492433548
all,4,GapJumper-v0,0.10542157292366028,0.7416086196899414,0.44999998807907104,0.5012658834457397,0.44999998807907104,0.5012658834457397
