iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.9155503,2.3632865,-11.462882,-4.8996334,1.4648438,6.25,2.4414062,14.409623384475708,2024-08-22 08:14:50.475024,0
2,0.9155503,0.46649307,-10.428251,-13.245741,1.7578125,8.203125,2.9296875,8.681581497192383,2024-08-22 08:14:59.157001,0
3,0.9155503,-2.1918445,-17.13955,-25.68169,2.0507812,9.5703125,3.4179688,8.562949895858765,2024-08-22 08:15:07.720359,0
4,0.9155503,-1.0552182,-18.18332,-32.59861,2.5390625,10.839844,3.90625,9.211755514144897,2024-08-22 08:15:16.932552,0
5,0.9155503,-0.74371123,-25.382317,-38.603348,2.6367188,11.621094,4.1015625,9.213499069213867,2024-08-22 08:15:26.146544,0
6,0.9155503,-0.5522442,-23.995388,-47.29129,2.9296875,12.6953125,4.3945312,8.837191581726074,2024-08-22 08:15:34.984163,0
7,0.9155503,0.0327363,-26.660074,-53.03637,3.0273438,13.4765625,4.6875,8.826528310775757,2024-08-22 08:15:43.811148,0
8,0.9155503,3.4275205,-15.414034,-61.138054,3.0273438,14.0625,5.078125,8.788085699081421,2024-08-22 08:15:52.599690,0
9,0.9155503,3.5040329,-16.589846,-63.281822,3.125,14.6484375,5.1757812,9.075093746185303,2024-08-22 08:16:01.675221,0
10,0.9155503,-3.0324097,-18.10745,-74.71672,3.4179688,15.136719,5.5664062,8.826866149902344,2024-08-22 08:16:10.502543,0
11,0.9155503,0.40937507,-13.713144,-74.40128,3.515625,15.8203125,5.5664062,9.641201496124268,2024-08-22 08:16:20.144134,0
12,0.9155503,0.5279318,-5.751257,-74.11721,3.515625,16.308594,5.5664062,9.296255826950073,2024-08-22 08:16:29.440855,0
13,0.9155503,0.54879534,-3.6929436,-76.09735,3.8085938,16.699219,5.6640625,8.532281160354614,2024-08-22 08:16:37.973539,0
14,0.9155503,1.3532294,-5.707632,-78.21942,3.8085938,17.1875,5.7617188,8.550891876220703,2024-08-22 08:16:46.524837,0
