iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.38622412,2.1193438,-53.109966,-20.516716,1.5625,6.3476562,2.34375,13.26917052268982,2024-08-26 11:43:03.088090,0
2,0.52540034,3.2725873,-64.189384,-25.793118,1.6601562,8.7890625,3.2226562,9.021363735198975,2024-08-26 11:43:12.109882,0
3,0.5657699,1.0881579,-66.64588,-32.421562,1.953125,10.7421875,3.4179688,9.078787803649902,2024-08-26 11:43:21.189196,0
4,0.5657699,4.4328794,-76.60191,-40.966858,2.1484375,11.9140625,3.8085938,8.193093061447144,2024-08-26 11:43:29.382721,0
5,0.5657699,5.271646,-61.64864,-43.30986,2.2460938,12.890625,4.1015625,9.505434036254883,2024-08-26 11:43:38.888634,0
6,0.5657699,6.031922,-54.27304,-49.461243,2.34375,13.8671875,4.296875,8.948861598968506,2024-08-26 11:43:47.837922,0
7,0.5657699,5.792821,-51.30742,-52.55162,2.4414062,14.746094,4.5898438,8.92850947380066,2024-08-26 11:43:56.766852,0
8,0.5657699,5.5735807,-44.39131,-51.63057,2.734375,15.332031,4.6875,9.337083339691162,2024-08-26 11:44:06.104386,0
9,0.5657699,6.2165384,-41.053127,-54.73668,2.734375,16.210938,4.7851562,8.772689819335938,2024-08-26 11:44:14.877517,0
10,0.5657699,-0.03211212,-36.65407,-60.45978,3.0273438,16.894531,4.9804688,9.064344644546509,2024-08-26 11:44:23.942295,0
11,0.5657699,0.57753706,-38.489067,-60.289093,3.2226562,17.675781,5.078125,9.92741060256958,2024-08-26 11:44:33.870131,0
12,0.5657699,0.81370807,-35.737106,-59.955215,3.3203125,18.164062,5.078125,8.750179529190063,2024-08-26 11:44:42.620785,0
13,0.5657699,0.8813889,-30.860954,-59.234478,3.3203125,18.554688,5.1757812,9.005845069885254,2024-08-26 11:44:51.627116,0
14,0.5657699,1.1299567,-27.488728,-61.673126,3.4179688,18.847656,5.3710938,9.34237265586853,2024-08-26 11:45:00.969963,0
15,0.5657699,1.6001608,-29.207422,-69.0293,3.515625,19.433594,5.5664062,9.440900325775146,2024-08-26 11:45:10.411266,0
16,0.5657699,2.219998,-25.944939,-66.11016,3.515625,19.628906,5.5664062,10.393384456634521,2024-08-26 11:45:20.805136,0
17,0.5657699,2.2312357,-15.779859,-65.517296,3.515625,20.019531,5.5664062,9.203331470489502,2024-08-26 11:45:30.008906,0
18,0.5657699,-1.048109,-18.08743,-65.19674,3.6132812,20.410156,5.5664062,9.281433343887329,2024-08-26 11:45:39.290957,0
19,0.5657699,-1.0735121,-9.600599,-70.73729,3.7109375,20.703125,5.7617188,9.538341283798218,2024-08-26 11:45:48.829759,0
20,0.5657699,2.2787213,-5.7800016,-73.79622,3.7109375,20.898438,5.859375,9.175638914108276,2024-08-26 11:45:58.005821,0
21,0.5657699,0.3092742,-0.87242126,-73.711624,3.8085938,21.484375,5.859375,9.524435758590698,2024-08-26 11:46:07.530684,0
22,0.6154785,3.6945372,1.4330902,-73.28429,3.8085938,21.777344,5.859375,9.809799671173096,2024-08-26 11:46:17.340917,0
23,0.6154785,7.011038,-0.19695091,-73.25778,3.8085938,21.972656,5.859375,9.989446878433228,2024-08-26 11:46:27.330782,0
24,0.6154785,7.7856054,-2.0029583,-72.620186,3.90625,22.167969,5.859375,9.153309345245361,2024-08-26 11:46:36.484525,0
25,0.6154785,4.4947114,-1.1638298,-76.13038,4.0039062,22.460938,5.9570312,9.431283235549927,2024-08-26 11:46:45.916556,0
26,0.6154785,5.3961487,-3.5038586,-76.07003,4.0039062,22.949219,5.9570312,9.840728282928467,2024-08-26 11:46:55.757845,0
27,0.6154785,5.7548203,1.3638897,-78.80557,4.1015625,23.144531,6.1523438,9.402840375900269,2024-08-26 11:47:05.161104,0
28,0.6154785,5.9922667,3.4989185,-81.833755,4.1015625,23.632812,6.25,10.21544098854065,2024-08-26 11:47:15.377224,0
29,0.6154785,5.2174387,1.3183346,-81.11177,4.1992188,24.316406,6.25,9.083163738250732,2024-08-26 11:47:24.460810,0
30,0.6154785,5.414923,2.6457205,-80.26649,4.296875,24.414062,6.25,8.50674033164978,2024-08-26 11:47:32.968062,0
31,0.6154785,2.1506662,3.7174892,-80.21619,4.3945312,24.804688,6.25,8.888835191726685,2024-08-26 11:47:41.857363,0
32,0.6154785,-0.9034543,6.888322,-79.79019,4.5898438,25.0,6.25,9.378211259841919,2024-08-26 11:47:51.236051,0
33,0.6154785,-0.85132504,9.982614,-79.728745,4.5898438,25.195312,6.25,9.274208068847656,2024-08-26 11:48:00.510762,0
34,0.6154785,-0.78411293,7.698065,-79.018616,4.5898438,25.585938,6.25,9.09324598312378,2024-08-26 11:48:09.604462,0
35,0.6154785,2.6726146,8.92015,-81.6373,4.6875,25.683594,6.3476562,9.033028364181519,2024-08-26 11:48:18.637989,0
36,0.6154785,3.1750817,10.02342,-81.55643,4.6875,25.78125,6.3476562,9.469643831253052,2024-08-26 11:48:28.108192,0
37,0.6154785,6.4548054,9.362173,-81.52893,4.6875,25.878906,6.3476562,9.06018352508545,2024-08-26 11:48:37.168896,0
38,0.6154785,6.6727657,5.658568,-81.52893,4.6875,26.171875,6.3476562,9.284347772598267,2024-08-26 11:48:46.453987,0
