iteration,max_fitness,qd_score1,qd_score2,qd_score3,coverage1,coverage2,coverage3,time,current_time,invalid_individuals
1,0.46789774,-3.5051918,-28.891495,-29.675762,1.3671875,6.25,2.9296875,12.766941785812378,2024-08-20 07:54:33.917421,0
2,0.46789774,0.6997616,-32.708447,-37.740288,1.6601562,8.59375,3.515625,8.427170276641846,2024-08-20 07:54:42.344973,0
3,0.46789774,-2.5661428,-25.21122,-40.19365,2.1484375,10.3515625,3.8085938,9.44971513748169,2024-08-20 07:54:51.795125,0
4,0.46789774,-1.6718953,-30.794943,-46.968716,2.34375,12.207031,4.3945312,8.452435493469238,2024-08-20 07:55:00.248035,0
5,0.46789774,-6.9322023,-25.355576,-54.972572,2.734375,13.28125,4.7851562,8.752480030059814,2024-08-20 07:55:09.000993,0
6,0.46789774,-2.6989155,-13.539342,-57.198288,2.9296875,14.0625,4.9804688,9.766392230987549,2024-08-20 07:55:18.767821,0
7,0.46789774,0.50997496,-8.240883,-63.010857,2.9296875,14.941406,5.1757812,8.463545799255371,2024-08-20 07:55:27.231827,0
8,0.46789774,-2.4398937,-6.957878,-66.04786,3.125,16.015625,5.2734375,8.873214483261108,2024-08-20 07:55:36.105527,0
9,0.46789774,-2.2561364,-5.9096756,-65.09415,3.4179688,16.796875,5.2734375,9.275362730026245,2024-08-20 07:55:45.381350,0
10,0.46789774,-1.4919062,0.5824194,-63.84088,3.6132812,17.382812,5.3710938,8.263733625411987,2024-08-20 07:55:53.645529,0
11,0.46789774,-1.1831207,-1.8972197,-63.548134,3.6132812,18.164062,5.46875,8.771256446838379,2024-08-20 07:56:02.417231,0
12,0.5348036,0.10214448,-2.8453045,-66.0392,3.8085938,19.140625,5.5664062,9.09156346321106,2024-08-20 07:56:11.509332,0
13,0.5348036,3.1691723,-2.1487277,-65.373505,3.8085938,19.53125,5.5664062,9.366341829299927,2024-08-20 07:56:20.876101,0
14,0.5348036,3.6554403,1.7266357,-64.2125,3.90625,20.410156,5.5664062,8.759728908538818,2024-08-20 07:56:29.636441,0
15,0.5348036,6.532181,6.0333114,-64.09227,3.90625,21.191406,5.5664062,8.975446224212646,2024-08-20 07:56:38.612341,0
16,0.5591401,9.876383,-1.7833886,-66.91865,4.0039062,21.875,5.6640625,8.93648910522461,2024-08-20 07:56:47.549364,0
17,0.5591401,10.182894,-0.07092142,-66.880325,4.0039062,22.167969,5.6640625,8.9978928565979,2024-08-20 07:56:56.547690,0
18,0.5591401,10.615412,8.705369,-69.03526,4.1992188,22.558594,5.7617188,9.269806385040283,2024-08-20 07:57:05.817972,0
19,0.5591401,10.981056,6.864213,-68.77311,4.296875,22.949219,5.7617188,8.354317903518677,2024-08-20 07:57:14.172795,0
20,0.5591401,11.018781,4.7529497,-68.755516,4.296875,23.4375,5.859375,9.052095174789429,2024-08-20 07:57:23.225324,0
21,0.5591401,11.418783,9.223729,-68.588356,4.3945312,23.730469,5.859375,9.254219770431519,2024-08-20 07:57:32.479970,0
22,0.5591401,7.905863,6.964898,-68.36416,4.4921875,23.925781,5.859375,9.132142782211304,2024-08-20 07:57:41.612581,0
23,0.5591401,8.231975,8.531328,-71.529015,4.4921875,24.316406,5.9570312,8.945023775100708,2024-08-20 07:57:50.558032,0
24,0.5591401,12.007679,10.041164,-71.10221,4.5898438,24.414062,5.9570312,9.202725648880005,2024-08-20 07:57:59.761200,0
25,0.5591401,12.618212,11.883532,-73.828064,4.5898438,24.707031,6.0546875,9.370481252670288,2024-08-20 07:58:09.132109,0
26,0.5591401,13.0367565,13.209265,-73.80737,4.7851562,24.804688,6.0546875,9.301989078521729,2024-08-20 07:58:18.434714,0
27,0.5591401,13.0367565,10.508837,-75.62443,4.7851562,24.902344,6.1523438,8.171809434890747,2024-08-20 07:58:26.606983,0
28,0.5591401,13.077436,11.132991,-75.60324,4.7851562,25.0,6.1523438,8.641886234283447,2024-08-20 07:58:35.249360,0
29,0.5591401,13.333031,11.117202,-77.76143,4.8828125,25.292969,6.25,8.395452976226807,2024-08-20 07:58:43.645251,0
30,0.5591401,13.564024,15.249624,-76.71124,4.8828125,25.683594,6.3476562,8.551977157592773,2024-08-20 07:58:52.197654,0
31,0.5591401,13.8708515,15.697485,-79.02191,4.8828125,25.878906,6.4453125,8.954169988632202,2024-08-20 07:59:01.152231,0
32,0.5591401,14.114797,16.186907,-81.583885,4.9804688,26.171875,6.5429688,8.767917394638062,2024-08-20 07:59:09.920620,0
33,0.5591401,14.225458,17.314651,-81.583885,5.078125,26.269531,6.5429688,9.230268239974976,2024-08-20 07:59:19.151380,0
34,0.5591401,14.6406355,19.1724,-81.30954,5.078125,26.5625,6.5429688,9.059187173843384,2024-08-20 07:59:28.211060,0
35,0.5591401,14.739402,20.187603,-84.58262,5.1757812,26.855469,6.640625,9.035616874694824,2024-08-20 07:59:37.247354,0
36,0.5591401,15.109084,20.37775,-87.88946,5.2734375,26.953125,6.7382812,9.246551036834717,2024-08-20 07:59:46.494381,0
37,0.5591401,15.109084,24.502838,-87.85763,5.2734375,27.050781,6.7382812,9.558531284332275,2024-08-20 07:59:56.053347,0
38,0.5591401,15.508467,24.79507,-87.70401,5.2734375,27.148438,6.7382812,9.084195137023926,2024-08-20 08:00:05.137991,0
39,0.5591401,15.508467,28.697838,-87.5317,5.2734375,27.441406,6.7382812,8.627063512802124,2024-08-20 08:00:13.765539,0
40,0.5591401,15.68018,29.899044,-87.18084,5.3710938,27.539062,6.7382812,8.775338649749756,2024-08-20 08:00:22.541496,0
41,0.5591401,15.991036,30.401058,-87.121475,5.46875,27.734375,6.7382812,9.397964239120483,2024-08-20 08:00:31.939927,0
42,0.5591401,16.640675,31.230093,-87.08232,5.46875,27.734375,6.7382812,9.440256834030151,2024-08-20 08:00:41.380655,0
43,0.5591401,16.999527,29.118126,-86.547485,5.46875,27.929688,6.7382812,8.007520198822021,2024-08-20 08:00:49.388606,0
44,0.57879764,17.203548,33.700253,-86.1829,5.46875,28.125,6.7382812,9.414280891418457,2024-08-20 08:00:58.803318,0
45,0.57879764,17.535645,33.90438,-85.84136,5.46875,28.320312,6.7382812,8.631096601486206,2024-08-20 08:01:07.434890,0
46,0.57879764,17.536818,34.554996,-85.84136,5.46875,28.710938,6.7382812,8.593387365341187,2024-08-20 08:01:16.028905,0
47,0.57879764,17.694927,35.432068,-85.53363,5.46875,28.808594,6.7382812,9.05018401145935,2024-08-20 08:01:25.079511,0
48,0.57879764,17.772116,37.058147,-85.389404,5.5664062,29.101562,6.7382812,9.10976243019104,2024-08-20 08:01:34.189890,0
49,0.57879764,17.772116,36.92527,-84.89438,5.5664062,29.296875,6.7382812,9.243309259414673,2024-08-20 08:01:43.433614,0
50,0.57879764,17.772116,34.183666,-84.79578,5.5664062,29.492188,6.7382812,8.51967716217041,2024-08-20 08:01:51.953744,0
51,0.57879764,17.772116,34.4993,-84.73998,5.5664062,29.492188,6.7382812,9.114245653152466,2024-08-20 08:02:01.068421,0
52,0.57879764,17.787601,32.52402,-87.50267,5.5664062,29.785156,6.8359375,8.291543006896973,2024-08-20 08:02:09.360425,0
53,0.57879764,18.129822,33.300835,-87.217636,5.5664062,29.882812,6.8359375,9.104080200195312,2024-08-20 08:02:18.464961,0
54,0.57879764,18.473324,27.770271,-87.169685,5.6640625,30.273438,6.8359375,8.48837947845459,2024-08-20 08:02:26.953775,0
55,0.57879764,14.831254,27.95067,-87.169685,5.7617188,30.46875,6.8359375,8.504967451095581,2024-08-20 08:02:35.459159,0
56,0.57879764,15.014621,28.458857,-86.95679,5.7617188,30.46875,6.8359375,9.400743246078491,2024-08-20 08:02:44.860435,0
57,0.57879764,15.279839,26.848345,-86.52763,5.7617188,30.566406,6.8359375,9.103806495666504,2024-08-20 08:02:53.964698,0
58,0.57879764,14.887239,29.638859,-86.52763,5.859375,30.761719,6.8359375,8.899312496185303,2024-08-20 08:03:02.864449,0
59,0.57879764,15.163741,30.18738,-85.98021,5.859375,30.761719,6.8359375,8.488410472869873,2024-08-20 08:03:11.353313,0
